adiaux,さようなら
sifon,サイフォン
sinap,カラシナ
sinod,教会会議
siren,セイレーン
skalp,戦利頭皮
skerc,スケルツォ
skism,分裂
sonat,ソナタ
sonet,ソネット
spasm,けいれん
sperm,精液
splen,憂鬱
stopl,刈株
strof,節
sutan,スータン
sxose,車道
sxpat,すき
taler,ターレル
tanin,タンニン
tarok,タロ
teism,有神論
teist,有神論者
templ,寺院
tenor,テノール
teror,テロル
tindr,ほくち
tiran,専制君主
tonel,容量トン
trofe,トロフィー
trust,トラスト
tunik,チュニック
utopi,ユートピア
vanel,タゲリ
vinkt,留め金
viper,vipur
viski,ウイスキー
zefir,そよ風
advent,降臨節
aksiom,公理
akvari,水槽
algebr,代数学
alkemi,錬金術
ambici,野心
amulet,お守り
anagal,ルリハコベ
anarki,無政府状態
anatom,解剖学者
ancxov,アンチョビー
anemon,アネモネ
anilin,アニリン
aplomb,落ち着き
apolog,教訓談
arbust,小低木
arhxiv,arkivo
asesor,陪席判事
ateism,無神論
ateist,無神論者
auxkci,競売
balast,バラスト
balkon,バルコニー
balzam,バルサム
bandit,山賊
barbar,未開人
barier,門柵
bateri,電池
batist,バチスト
bazalt,玄武岩
beletr,美文学
bilanc,貸借対照表
bilard,ビリヤード
binokl,双眼鏡
biolog,生物学者
blazon,紋章
blokad,封鎖
bordel,売春宿
braman,バラモン
brigad,旅団
buduar,女性の私室
burnus,ブルヌス
celeri,セロリ
cidoni,マルメロ
ciklon,低気圧
ciklop,キュクロプス
dekret,政令
depesx,急報
despot,専制君主
diabet,糖尿病
diadem,王冠型髪飾り
diakon,助祭
diplom,免状
divizi,師団
dragon,竜騎兵
eklips,食
eksces,過多
ekstaz,エクスタシー
ekvaci,方程式
emblem,表徴
emulsi,乳剤
endivi,キクヂシャ
epilog,エピローグ
epitet,付加形容詞
epizod,エピソード
erupci,噴火
eskort,護送隊
estrad,壇
etiket,礼儀
euxnuk,宦官
ezofag,食道
faktor,要因
falang,密集方陣
fanfar,ファンファーレ
feniks,不死鳥
feston,花綱
feticx,物神
fleksi,語尾変化
floren,フロリン
format,判
frakci,分数
fregat,フリゲート艦
galant,ユキワリソウ
gangli,神経節
genist,ヒトツバエニシダ
geolog,地質学者
gerani,ゼラニウム
gigant,巨人
glazur,うわ薬
glikoz,glukoz
glukoz,ブドウ糖
gondol,ゴンドラ
grafit,黒鉛
gulden,ギルダー
harpun,銛
hetman,アタマン
hipnot,催眠
incens,香
indeks,索引
inflam,炎症
jaguar,ジャガー
jezuit,イエズス会士
jxaket,モーニングコート
kadavr,死体
kadenc,カデンツァ
kalibr,口径
kameli,ツバキ
kantat,カンタータ
kanton,郡
karbon,炭素
karcer,監房
karier,職業
kariol,軽馬車
katedr,法座
kauxci,保証金
kazern,兵営
kokard,帽章
kolodi,コロジオン
koloni,植民地
kompas,羅針盤
kondor,コンドル
konjak,コニャック酒
korife,合唱隊長
kornet,コルネット
korsar,私掠船
korset,コルセット
korvet,コルベット
kotlet,カツレツ
kursiv,イタリック
laktuk,レタス
lavend,ラベンダ
loteri,宝くじ
lucern,つりランプ
maksim,金言
malari,マラリア
marasm,衰弱
markiz,侯爵
martir,殉教者
masagx,マッサージ
mazurk,マズルカ
medium,霊媒
melodi,旋律
mentor,良き指導者
merkat,市場
mespil,西洋カリン
meteor,大気現象
metrik,韻律学
mikrob,微生物
mirakl,奇跡
miriad,無数
molusk,軟体動物
monark,君主
morfin,モルヒネ
mozaik,モザイク
munici,弾薬
nektar,ネクタル
orkide,ラン
pacxul,パチョリ
parodi,パロディ
pavian,ヒヒ
pedant,学者ぶる人
pepsin,ペプシン
petard,爆竹
piastr,ピアストル
pistil,めしべ
podagr,痛風
ponton,平底舟
portal,正面玄関
portik,ポーチコ
prelat,高位聖職者
prelud,前奏曲
premis,前提
profan,冒涜者
profil,横顔
prolog,プロローグ
puding,プディング
pupitr,見台
pustul,膿疱
rabarb,ダイオウ
regent,摂政
rektor,学長
relief,浮彫り
retort,レトルト
romanc,ロマンス
rotond,ロタンダ
sandal,サンダル
santal,ビャクダン
sarong,サロン
satrap,太守
sektor,扇形
septet,七重奏
serajl,宮殿
sevrug,チョウザメ
sfinks,スフィンクス
siluet,シルエット
simbol,象徴
sinkop,失神
sintez,合成
skelet,骨格
sofist,ソフィスト
spektr,スペクトル
spiral,螺旋
sponde,長長格
suflor,プロンプター
sultan,サルタン
sxalup,ランチ
sxankr,下疳
sxarad,字謎
taksus,イチイ
taktik,戦術
talmud,タルムード
tamtam,タムタム
tandem,タンデム車
tapiok,タピオカ
teolog,神学者
teorem,定理
terapi,療法
tercet,三行詩
termit,シロアリ
tonsur,剃髪
torped,魚雷
trapez,台形
tribut,貢ぎ物
triumf,凱旋
turbin,タービン
unison,ユニゾン
uragan,大暴風
vampir,吸血鬼
verand,ベランダ
vermut,ベルモット
vinjet,装飾カット
zigzag,ジグザグ
zodiak,黄道帯
admiral,海軍大将
aerolit,隕石
aforism,警句
agronom,農学者
akrobat,曲芸師
akvarel,水彩画
alegori,たとえ話
alhxemi,alkemi
almanak,暦
ambrozi,アンブロシア
ametist,紫水晶
amnesti,大赦
anagram,アナグラム
analogi,類推
anapest,短短長格
anatomi,解剖学
angelik,アンゼリカ
anomali,変則
antilop,カモシカ
antipod,対蹠地
antitez,アンチテーゼ
apoteoz,神格化
apozici,同格
arabesk,アラベスク
arkaism,古語
asonanc,母音押韻
atavism,隔世遺伝
atribut,属性
auxreol,後光
bankier,銀行家
barikad,バリケード
bariton,バリトン
bastard,庶子
bazilik,バジリカ
biograf,伝記作家
biologi,生物学
bisturi,柳葉刀
bombast,大言壮語
botanik,植物学
celuloz,セルローズ
ceramik,製陶
cilindr,円筒
cistern,貯水池
citadel,砦
cxevron,垂木
demagog,煽動政治家
diagnoz,診断
dialekt,方言
diametr,直径
difteri,ジフテリア
diftong,二重母音
dinamik,力学
dinamit,ダイナマイト
dinasti,歴代王朝
doktrin,学説
ekspres,急行列車
eliksir,エリキシル
eminenc,台下
epiderm,表皮
epifani,主顕節
epigraf,碑銘
epigram,警句
erudici,博学
estetik,美学
etim/olog##,語源学者
etiolog,病原学者
evoluci,進化
farmaci,薬学
filolog,文献学者
filozof,哲学者
fonetik,音声学
fronton,ペディメント
gangren,壊疽
gardeni,クチナシ
gencian,リンドウ
geodezi,測地学
geograf,地理学者
geologi,地質学
geometr,幾何学者
gerundi,動名詞
gilotin,ギロチン
gimnast,体操教師
gimnazi,ギムナジウム
guberni,県
hiacint,ヒアシンス
hipotek,抵当権
hipotez,仮説
histeri,ヒステリー
homonim,同音異義語
hxirurg,kirurg
judaism,judsm
jxargon,通語
kalomel,甘汞
kanaben,ベニヒワ
kanibal,食人種
kanonik,教会参事会員
kaporal,伍長
karamel,カルメラ
karavan,隊商
kartusx,カルトゥーシュ
katolik,カトリック教徒
kazemat,砲郭
komplot,陰謀
koncesi,払い下げ
kontakt,接触
korsajx,胴部
kreozot,クレオソート
kriteri,規準
kvadril,カドリール
kvestor,出納官
letargi,昏睡
liturgi,礼拝式
lozangx,ひし形
lumbrik,ミミズ
mahagon,マホガニ
majolik,マジョリカ焼き
makadam,マカダム
makaron,マカロン
malakit,孔雀石
mansard,屋根裏部屋
margxen,余白
matador,闘牛士
mekanik,力学
merlang,メルラン
metafor,隠喩
minaret,ミナレット
mirabel,ミラベル
molekul,分子
monarki,君主政治
monolog,独白
monopol,独占
nikotin,ニコチン
obelisk,オベリスク
oleandr,セイヨウキョウチクトウ
oligark,少数独裁者
omnibus,乗合馬車
onobrik,イガマメ
optativ,願望法
pacient,患者
palinur,イセエビ
pamflet,パンフレット
panoram,全景
papirus,パピルス
parabol,放物線
parafin,パラフィン
paskvil,風刺文
pasxtel,パステル
patolog,病理学者
patrici,貴族
patriot,愛国者
pedagog,教育者
pelerin,ケープ
pension,下宿屋
percept,知覚
pilastr,柱形
piramid,ピラミッド
plagiat,盗作
plantag,オオバコ
polemik,論争
prefekt,知事
procesi,行列
prognoz,予想
prozodi,作詩法
puritan,清教徒
retorik,修辞学
revizor,検察官
samovar,サモワール
sarkasm,辛辣な皮肉
segment,線分
sekreci,分泌物
semafor,信号機
serenad,セレナーデ
sifilis,梅毒
simetri,対称
simfoni,交響曲
simptom,症状
sinagog,ユダヤ教会
sinedri,法廷
sinonim,同義語
sintaks,構文論
skandal,スキャンダル
skrupul,細心
stearin,ステアリン
sugesti,暗示
sxiling,シリング
taburet,腰掛
tangent,正接
teokrat,神権主義者
teologi,神学
trombon,トロンボーン
ultimat,最後通告
uvertur,序曲
variant,異文
vazelin,ワセリン
verdikt,判決
veteran,ベテラン
vokativ,呼格
abnegaci,自己犠牲
adjutant,副官
aeroplan,飛行機
agronomi,農学
akvafort,銅版
akvilegi,オダマキ
alabastr,雪花石膏
aligator,ワニ
ambulanc,救急車
antipati,反感
antologi,文学選集
apostrof,アポストロフィ
arbalest,大弓
areometr,浮ばかり
arkeolog,考古学者
arkitekt,建築家
artileri,砲兵隊
astrolog,占星術師
astronom,天文学者
atmosfer,大気
auxdienc,引見
balistik,弾道学
balzamin,ホウセンカ
banderol,帯封
barelief,浅浮彫り
batalion,大隊
bazilisk,バジリスク
biografi,伝記
ceremoni,儀式
dekadenc,衰退
delegaci,代表団
demagogi,デマ
demokrat,民主主義者
diafragm,横隔膜
diagonal,対角線
diapazon,音叉
didaktik,教授法
difterit,difteri
diktator,独裁者
discxipl,弟子
dispepsi,消化不良
ditiramb,酒神賛歌
dromedar,ヒトコブラクダ
ekstrakt,抜粋
epilepsi,てんかん
erizipel,丹毒
etimologi##,語源学
etiologi,病原学
etnograf,民族誌学者
evangeli,福音書
faksimil,ファクシミリ
fakultat,学部
felieton,学芸欄
feminism,フェミニズム
feminist,フェミニスト
filologi,文献学
filozofi,哲学
fiziolog,生理学者
fonograf,ろう管蓄音機
galantin,ガランティン
garnitur,装身具一式
garnizon,守備隊
genealog,系図学者
geometri,幾何学
glicerin,グリセリン
gliciriz,カンゾウ
grafolog,筆跡学者
gramofon,蓄音機
gutaperk,グタペルカ
halebard,ほこやり
harmonik,ハーモニカ
hegemoni,主導権
hekatomb,雄牛百頭のいけにえ
hierarki,階級制度
hipodrom,競馬場
honorari,謝礼金
horoskop,天宮図
hortensi,アジサイ
hxirurgi,kirurgi
idiotism,慣用語法
imperial,屋上席
indigxen,土着民
inkognit,お忍び
intervju,インタビュー
kalendul,キンセンカ
kardinal,枢機卿
katafalk,棺台
katakomb,カタコンベ
katedral,大聖堂
katekist,伝道師
kavaleri,騎兵隊
komandit,合資会社
konfekci,既製服
konflikt,葛藤
kontralt,コントラルト
kontrast,対照
konvenci,協定
kosmetik,化粧法
kreditor,債権者
ksilofon,シロホン
kvocient,商
labirint,迷路
lauxreat,優勝者
logaritm,対数
logogrif,語字判じ物
makaroni,マカロニ
mandaren,官吏
mandolin,マンドリン
manifest,宣言
manometr,圧力計
margarin,マーガリン
marionet,操り人形
mauxzole,霊廟
mekanism,メカニズム
melodram,メロドラマ
meridian,子午線
metronom,メトロノーム
metropol,中心都市
mikrofon,マイクロフォン
miniatur,細密画
monogram,モノグラム
monomani,偏執狂
naftalin,ナフタリン
narkotik,麻酔薬
navigaci,navig/ad
nekrolog,死亡記事
nepotism,縁者びいき
nihilism,ニヒリズム
nihilist,ニヒリスト
nostalgi,郷愁
numismat,古銭学者
obligaci,債券
oligarhx,oligark
oligarki,寡頭政治
optimism,楽天主義
optimist,楽天主義者
organism,有機体
orografi,山岳誌
pacifism,平和主義
pacifist,平和主義者
palanken,かご
panteism,汎神論
panteist,汎神論者
pantomim,パントマイム
paradigm,語形変化表
parafraz,パラフレーズ
paragraf,節
partitur,総譜
patologi,病理学
pedagogi,教育学
perimetr,周辺
peristil,柱廊
pesimism,悲観論
pesimist,悲観論者
pleonasm,冗言法
poliglot,ポリグロット
preterit,過去
procedur,訴訟手続
projekci,映写
proporci,割合
prospekt,内容説明書
protokol,議事録
prototip,原型
prozelit,改宗者
psikolog,心理学者
referenc,参照
renesanc,ルネサンス
reputaci,評判
revelaci,啓示
revolver,リボルバー
rojalist,王党員
sacerdot,司祭
sakristi,聖具室
sarkofag,石棺
seminari,ゼミナール
sensaci,センセーション
sfinkter,括約筋
silogism,三段論法
solecism,語法違反
stipendi,奨学金
strategi,戦略
subvenci,補助金
talisman,護符
tamburin,タンバリン
tarantel,タランテラ
tarantul,タランチュラ
teleskop,望遠鏡
teokrati,神権政治
tipograf,活版印刷技術者
topograf,地誌学者
toreador,闘牛士
transept,トランセプト
tuberkul,結節
amfiteatr,円形競技場
apopleksi,卒中
arbitraci,調停
arhxeolog,arkeologo
arhxitekt,arkitekto
aritmetik,算数
arkeologi,考古学
arkipelag,群島
astrologi,占星術
astronomi,天文学
auxditori,講堂
auxtograf,自筆
auxtokrat,専制君主
deklaraci,宣言
demokrati,民主政治
dialektik,弁証法
disciplin,規律
disenteri,赤痢
entomolog,昆虫学者
etnografi,民族誌学
filantrop,博愛主義者
fiziologi,生理学
fizionomi,人相
fotografi,写真術
genealogi,系図学
gladiator,剣闘士
grafologi,筆跡学
harmonium,リードオルガン
heksametr,六歩格
heliotrop,キダチルリソウ
hidrofobi,恐水病
hieroglif,ヒエログリフ
higrometr,湿度計
hipopotam,カバ
homeopati,同種療法医師
ideografi,表意文字方式
imperativ,命令法
imperfekt,半過去
impresari,興行主
indikativ,直説法
infanteri,歩兵隊
infinitiv,不定法
inkvizici,宗教裁判
intendant,執事
kabriolet,カブリオレ
kandelabr,枝付き燭台
karikatur,諷刺画
kartograf,地図製作者
kastanjet,カスタネット
katalepsi,強硬症
katastrof,大災害
katehxist,katekist
kompromis,妥協
konduktor,車掌
konkurenc,競争
kontinent,大陸
kontrabas,コントラバス
konvolvul,ヒルガオ
kosmogoni,宇宙進化論
kosmograf,宇宙形状誌学者
krizantem,キク
kronologi,年代学
kronometr,クロノメータ
krucifiks,十字架像
kvadratur,求積法
litografi,石版印刷術
lokomobil,移動式蒸気機関
melankoli,憂うつ
metafizik,形而上学
mikrometr,マイクロメータ
mikroskop,顕微鏡
mineralog,鉱物学者
monoteism,一神論
neologism,新語
oligarhxi,oligarki
ornitolog,鳥類学者
ostracism,陶片追放
paleograf,古文書学者
palisandr,シタン
paroksism,激発
pentametr,五歩格
plutokrat,金権政治家
politeism,多神教
providenc,神の摂理
pulcxinel,プルチネッラ
purgatori,煉獄
recitativ,叙唱部
reformaci,宗教改革
rekrement,絞りかす
repertuar,レパートリ
rezignaci,あきらめ
sakrament,秘跡
sekundant,決闘立会人
skarlatin,しょうこう熱
skolastik,スコラ哲学
somnambul,夢遊病者
sortiment,見本一式
spekulaci,投機
spiritism,交霊術
spiritist,交霊術師
stalagmit,石筍
stalaktit,鍾乳石
statistik,統計
sxovinism,排外的愛国心
sxovinist,排外的愛国者
tipografi,活版印刷
topografi,地誌学
velociped,自転車
veterinar,獣医
vivisekci,生体解剖
abiturient,アビトゥリエント
alternativ,二者択一
anakronism,時代錯誤
antropolog,人類学者
arhxeologi,arkeologio
arhxipelag,arkipelago
aristokrat,貴族
arkitektur,建築術
auxtokrati,専制政治
beletristik,美文学研究
bibliograf,書誌学者
civilizaci,文明
dinamometr,動力計
ekskrement,糞便
entomologi,昆虫学
euxkaristi,聖餐
filantropi,博愛
hipertrofi,肥大
ingredienc,成分
inkvizitor,宗教裁判官
kartografi,地図製作法
koeficient,係数
kompliment,お世辞
kongregaci,教団
konsistori,枢機卿会議
kontraband,密輸入
kontribuci,賠償金
kosmografi,宇宙形状誌
kosmopolit,コスモポリタン
krestomati,模範詩文集
kvintesenc,第五元素
manufaktur,手工業制工場
manuskript,原稿
metamorfoz,変身
meteorolog,気象学者
mineralogi,鉱物学
naturalism,自然主義
numismatik,古銭学
ornitologi,鳥類学
paleografi,古文書学
perspektiv,展望
plutokrati,金権政治
pneuxmatik,タイヤ
prerogativ,大権
pseuxdonim,pseuxdonomo
stenografi,速記術
subjunktiv,接続法
superlativ,最上級
tuberkuloz,結核症
admiralitat,海軍本部
antropologi,人類学
aristokrati,貴族政治
bibliografi,書誌学
cirkumfleks,サーカムフレクス
demonstraci,論証
departement,部
enciklopedi,百科事典
hermafrodit,雌雄同体
hidrostatik,流体静力学
hidroterapi,水治療法
imperialism,帝国主義
inauxguraci,式
kalejdoskop,万華鏡
kondicional,条件法
konfederaci,国家連合
konglomerat,レキ岩
kontrapunkt,対位法
manifestaci,デモ
metempsikoz,輪廻
meteorologi,気象学
observatori,観測所
paleontolog,古生物学者
pleuxronekt,ヒラメ
protagonist,主役
protektorat,保護国
pseuxd,仮名
racionalism,合理主義
racionalist,合理主義者
reuxmatism,リューマチ
temperament,気質
tragikomedi,悲喜劇
administraci,管理部
demonstrativ,指示詞
konservatori,音楽学校
paleontologi,古生物学
paralelogram,平行四辺形
spiritualism,唯心論
spiritualist,唯心論者
trigonometri,三角法
auxtobiografi,自伝
t.e.,つまり
k.t.p.,kaj tiel plu
kiom,何番目の
kiom##,～ほど
kiom##,どれほど
dum,間
dum##,間
gxis,まで
gxis##,まで
anstataux,代わりに
anstataux##,代わりに
kiu##,どの
kiu,だれ，どれ
tiu##,その・あの～
tiu##,その・あのひと
cxiu,各々の，各～
cxiu##,各々
neniu,どの～も～ない
neniu##,誰も～ない
ambaux,両方の
ambaux##,両方
tiu cxi##,この
tiu cxi##,このひと
fiks,固定した
fiks##,固定する
fals,偽の
fals##,偽造する
cxu##,～かどうか
cxu,～か？
kial,なぜ～するか
kial##,なぜ
kiel,～のように
kiel##,いかに
tamen,けれども
tamen##,とはいえ
apenaux,～するや否や
apenaux##,やっと
kvazaux,まるでように
kvazaux##,まるでように
cxirkaux,まわりに
cxirkaux##,約
precip##,特に主要な
precip,特に
tut,全部の
tut##,まったく
rest##,残る
rest,残り
cxiel,いろいろに
cxiel##,空
interes,興味を持たせる
interes##,興味
lig,結ぶ
lig##,連盟
rul,ころがす
rul##,巻き物
arm##,武装させる
arm,武器
fos,掘る
fos##,穴
plant,植える
plant##,植物
orient##,方位を定める
orient,東
fald,折りたたむ
fald##,折り目
kaj,そして
kaj##,プラットホーム
amas,集積
amas##,大衆
kopi,複写する
kopi##,複写
fotograf,撮影する
fotograf##,カメラマン
cxar,～だから
cxar##,荷馬車
fikci##,架空の
fikci,虚構
nul,ゼロ
nul##,ゼロ
klar##,クララ
klar,明瞭な
artikol,記事
artikol##,冠詞
auxgust,８月
auxgust##,アウグスト
por,ために
por##,細孔
opozici,反対する
opozici##,反対
fot,写真、写真をとる
vibr,振動する · 揺れる
oscil,振動する
fluktu,変動する・上下する
ad,継続
ad,行為
ag,行動する
al,～の方へ
am,愛する
an,会員
ar,集団
as,現在形
at,受動・継続　
av,祖父
bo,姻戚
ci,おまえ
da,の
de,～の
di,神
Di,神
do,そこで
du,二
ec,性質
eg,強大
ej,場所
ek,開始
el,中から
em,傾向
en,中で
er,粒子
et,弱小
fe,妖精
fi,チェッ！
fi,下劣な
ge,男女
ha,ああ！
he,おい！
ho,まあ！
ia,ある種の
id,子孫
ie,どこかで
ig,させる
il,道具
in,女性
io,何か
ir,行く
is,過去形
it,受動・完了　
iu,ある～
iu,ある人
ja,実に
je,に
ju,ju pli すればするほど
ke,ということ
li,彼
lu,賃借する
mi,私
ne,ない
ni,私達
nj,女子愛称
nu,さて
od,オード
ok,八
ol,～よりも
on,分数
op,集合数
or,金
os,未来形
ot,受動・将然　
ov,卵
pi,信心深い
po,～ずつ
re,再び
se,もし～なら
si,自分　
te,茶
uj,容器
ul,人
um,特定の意味を持たない
ur,野牛
us,条件法
uz,使う
ve,ああ！
vi,あなた

la,the
