adiaux,再见
grund,地基
haven,港
hotel,饭店
humor,情绪
karot,胡萝卜
katar,卡他病
kling,刃
koton,棉
kvant,量
lepor,野兔
makul,斑点
manik,袖
membr,成员
mizer,贫困
nebul,雾
organ,器官
parti,党派
pastr,牧师
radik,根
serur,锁
solid,固体
sonor,响声
strek,划
sxvit,汗
tabak,烟草
tabel,表格
titol,标题
tondr,雷
valiz,行李箱
ventr,腹部
alumet,火柴
aparat,装置
brasik,白菜
citron,柠檬
cxifon,破烂
dekliv,坡
dezert,沙漠
elektr,电
energi,能量
fiancx,未婚夫
hirund,燕子
kelner,服务员
kvalit,质
majstr,大师
mantel,披风
martel,锤
matrac,床垫
menton,下巴
orangx,橙
origin,起源
potenc,权力
salajr,工资
sekund,秒
societ,社团
stomak,胃
sxultr,肩
tapisx,地毯
tritik,小麦
aventur,冒险
cigared,香烟
distanc,距离
embaras,尴尬
kamarad,伙伴
kaserol,炖锅
komitat,委员会
kongres,大会
kvadrat,正方
magazen,商店
pasport,护照
politik,政治
registr,登记簿
ter/pom##,
akcident,事故
auxtobus,公交车
auxtomat,自動装置
cxokolad,巧克力
direktor,主任
instinkt,本能
karakter,特性
kauxcxuk,橡胶
material,材料
standard,旗帜
telegraf,电报机
restoraci,餐馆
ark,弧形
baz,基
beb,婴儿
bub,顽童
bud,棚屋
fel,皮毛
hok,钩
huf,蹄
jur,法
kas,金库
kin,电影
kom,逗号
kot,泥
lup,狼
mam,乳房
map,图
min,矿山
mus,小鼠
net,誊清稿
nod,节点
orf,孤儿
ort,直角
pat,煎锅
pil,电池
pir,梨
pup,娃娃
rat,鼠
rip,肋骨
rob,长袍
tip,类型
ton,音调
urs,熊
var,货物
vel,帆
vit,葡萄树
abel,蜜蜂
auxt,汽车
bluz,罩衫
boat,船
brov,眉
cerb,脑
cxek,支票
cxen,链
disk,圆盘
dram,剧本
drap,呢绒
dusx,淋浴
ezok,狗鱼
farb,颜料
febr,高烧
fend,裂缝
foir,定期市
fost,柱
frag,草莓
fulg,烟
funt,磅
gant,手套
geni,天才
glor,荣誉
golf,海湾
hajl,冰雹
hero,英雄
kemi,化学
kord,琴弦
kork,软木
krad,栅栏
kran,龙头
kret,粉笔
kriz,危机
kron,冠
kugl,弹丸
kupr,铜
lift,电梯
list,清单
mast,桅杆
nadl,针
nerv,神经
oliv,橄榄
park,公园
pasi,热情
pask,复活节
pelt,皮毛
plet,盘
poem,诗
proz,散文
pulm,肺
pulv,火药
rang,级别
revu,杂志
ritm,节奏
seks,性
sens,感觉
silk,丝
simi,猴
sojl,门槛
stil,风格
stri,条
sxel,壳
tend,帐篷
verb,动词
verg,枝条
vert,顶
vidv,鳏夫
virt,德
vual,面纱
vulp,狐
afisx,广告
album,影集
almoz,施舍
arane,蜘蛛
asoci,协会
avenu,林荫道
aviad/il##,
barel,桶
bazar,市场
betul,桦木
brems,刹车
butik,店
detal,细节
diabl,恶魔
emoci,情感
enigm,谜
esenc,本质
fauxk,毒口
fizik,物理
framb,覆盆子
grajn,穀粒
hxemi,化学
ideal,理想
juvel,宝石
katen,镣铐
kitel,罩衫
krucx,十字
krust,壳
kubut,肘部
kukol,布谷
kverk,橡树
lamen,薄片
marcx,沼泽
metod,方法
model,模型
motor,发动机
nivel,水平
palac,宫殿
panj,妈妈
penik,画笔
piocx,镐
plumb,铅
poezi,诗歌
salon,客厅
sauxc,酱
sitel,桶
sklav,奴隶
sport,运动
stamp,印章
stang,杆
stump,残肢
sxtal,钢
sxtof,布料
teatr,剧院
teori,理论
teren,场地
trajn,火车
trajt,特征
trunk,树干
venen,毒
vesxt,背心
abomen,厌恶
angxel,天使
animal,动物
apetit,食欲
apotek,药店
benzin,汽油
bicikl,自行车
bombon,糖果
cement,水泥
cxeriz,樱桃
desert,甜点
fabrik,工厂
financ,金融
funebr,哀悼
funkci,功能
garagx,车库
imperi,帝国
impost,税
impres,印象
kalkan,脚跟
kalson,内裤
kamion,卡车
kandel,蜡烛
kanzon,歌曲
kastel,城堡
klient,客户
kol/um##,
kurten,帘
mandat,委任
mister,神秘
moskit,蚊
muskol,肌肉
ombrel,伞
pacxj,爸爸
parfum,香水
patron,保护人
petrol,石油
posten,岗位
pozici,位置
proces,过程
profit,利润
proviz,供给
pulvor,粉雾
recept,配方
rekord,记录
rezerv,保留
signal,信号
sistem,系统
surfac,表面
sxofor,司机
tajlor,裁缝
trezor,宝藏
trikot,针织物
vakcin,疫苗
advokat,律师
alkohol,酒精
ampleks,范围
brosxur,小册子
bulvard,林荫道
deficit,赤字
ekonomi,经济
elefant,象
jxurnal,报纸
kabinet,内阁
kapital,资本
koncert,音乐会
krepusk,曙暮光
kvartal,市区
miliard,十亿
pejzagx,景色
problem,问题
profesi,职业
simpati,同情
student,学生
sxrauxb,螺丝
tempest,暴风雨
traktor,拖拉机
tri/angul##,
trotuar,人行道
adjektiv,形容词
dekoraci,装饰
ekvilibr,平衡
esperant,世界语
hospital,医院
intelekt,智力
kalendar,日历
kilometr,公里
komision,調查委員會
mehxanik,机械
milimetr,毫米
original,原作
pretekst,借口
struktur,结构
telegram,电报
tribunal,法庭
bibliotek,图书馆
fundament,基础
ingxenier,工程师
konferenc,会议
konscienc,良心
literatur,文学
mehxanism,机制
rekompenc,奖赏
respublik,共和制
sekretari,秘书
apartament,公寓
auxtomobil,汽车
auxtoritat,权威
instrument,工具
medikament,药品
temperatur,温度
cirkonstanc,情况
eksperiment,实验
mal/varm/um##,
ajl,蒜
akn,疹疱
aks,轴
akt,法令
ale,花径
alg,藻类
apr,野猪
azi,亚洲
bal,舞会
bet,甜菜
buk,扣件
cep,洋葱
cir,鞋油
dot,嫁妆
ehx,回声
fab,蚕豆
fac,面
fag,山毛榉
fig,无花果
gal,胆汁
gru,鹤
gum,胶
hal,大厅
jug,枷锁
kal,胼胝
kaz,案情
kub,立方体
lad,薄片
lak,漆
lap,牛蒡
lin,亚麻
lot,签
luk,舱口
mas,质量
mat,垫子
nuk,颈后
pap,教皇
pav,孔雀
pig,喜鹊
pus,脓
ran,蛙
ren,肾脏
rib,茶藨子
rim,韵
rol,角色
ros,露
sag,箭
sin,怀抱
ski,滑雪
sof,沙发
tig,柄
tuf,簇
tun,吨
vip,鞭
akci,股
atom,原子
aven,燕麦
bant,花结
bark,帆船
bask,下摆
bend,绳子
blok,块
bors,交易所
bovl,碗
brid,马勒
brut,牲畜
bukl,卷毛
bulb,球茎
bulk,小圆面包
cerv,鹿
cign,天鹅
cxel,小房
dand,花花公子
diet,处方食
dorn,刺
etap,阶段
etat,清单
fecx,渣
felt,毡
frak,燕尾服
fraz,句子
fung,蘑菇
garb,束
gent,族群
glav,剑
gobi,鮈鱼
gram,克
greg,畜群
grip,流感
grot,洞穴
gudr,沥青
gxib,驼背
hegx,树篱
himn,赞美歌
hxor,合唱团
kacx,糊
kagx,鸟笼
kaka,可可
kakt,仙人掌
karn,肉体
karp,鲤
kejl,楔
kern,核
klub,俱乐部
korv,乌鸦
kosm,宇宙
kult,祭礼
lacx,带子
lard,猪油
larv,幼虫
lice,中学
likv,液体
lili,百合
maiz,玉米
malv,锦葵
mens,心灵
menu,菜单
miel,蜜
musk,苔藓
muze,博物馆
nuks,坚果
oper,歌剧
oval,卵形线
palm,棕榈
palt,外套
pane,停车
perl,珍珠
pian,钢琴
pice,云杉
pipr,胡椒
plag,灾难
prun,李
pudr,粉
punt,蕾丝
raci,理性
rent,租金
ruin,废墟
rust,锈
situ,位置
sled,雪橇
sorg,高粱
spik,穗
spur,踪迹
stan,锡
sulk,犁沟
takt,节奏
tali,腰部
tigr,虎
tort,蛋糕
tram,电车
trup,团
vaks,蜡
vejn,脉
vesp,黄蜂
vind,尿布
zink,锌
afrik,非洲
agent,代理
akord,和谐
akrid,蝗虫
aktor,演员
alarm,警报
ampol,安瓿
angil,鳗鱼
anser,鹅
artik,关节
bacil,杆菌
bambu,竹
banan,香蕉
brand,白兰地
bronz,青铜
buked,花束
cigar,雪茄
cikad,蝉
cinam,桂
cindr,灰烬
cirkl,圆
civit,自治市
cxerk,棺
debet,欠款
diant,康乃馨
dogan,海关
efekt,效果
ekran,屏幕
emajl,搪瓷
event,事件
fabel,童话
fasad,正面
fason,样式
fluid,流体
fotel,扶手椅
front,前面
funel,漏斗
gxerm,芽
hepat,肝脏
horde,大麦
infer,地狱
ironi,讽刺
kaban,茅屋
kahel,瓷砖
kajut,舱
kamel,骆驼
kanal,运河
kankr,小龙虾
karaf,长颈瓶
kokos,椰子
krani,颅
krest,冠
kukum,瓜属植物
kupon,优惠券
kusen,垫子
latun,黄铜
lauxb,棚架
lekci,讲课
lesiv,洗剂
limak,蛞蝓
logik,逻辑
lotus,莲
melon,瓜
moral,道德
muzel,吻部
nilon,尼龙
ocean,海洋
palat,腭
palis,桩
papag,鹦鹉
paser,雀
pensi,养老金
peron,台阶
pilot,飞行员
pland,脚掌
plast,塑料
porci,份额
princ,亲王
pupil,瞳
rabat,折扣
rafan,萝卜
rauxp,毛虫
resum,总结
rimen,皮带
roman,长篇小说
salat,沙拉
salik,柳
satir,諷刺文
sciur,松鼠
sekal,黑麦
sekci,科
senat,参议院
split,薄片
spong,海绵
stadi,阶段
statu,雕像
sterk,肥料
strig,猫头鹰
strut,鸵鸟
sxink,火腿
sxtip,木料
tapet,挂毯
tarif,费率表
tegol,瓦片
tekst,文本
teras,平台
tomat,番茄
tuber,块茎
tunel,隧道
velur,天鹅绒
veruk,疣
vezik,囊泡
volum,卷
adverb,副词
akcent,重音
alauxd,云雀
amator,业余者
amerik,美洲
arteri,动脉
asfalt,柏油
auxtor,作者
barbir,理发师
bugxet,预算
bulten,公报
cikatr,疤痕
cikoni,鹳鸟
cirkel,圆规
daktil,枣
dialog,对话
ego/ist##,
eklezi,教会
emerit,退休者
euxrop,欧罗
fajenc,陶瓷
fazeol,菜豆
fontan,喷泉
formik,蚁
formul,公式
fripon,骗子
furagx,草料
galosx,套鞋
gvardi,近卫军
gxemel,双胞胎
hangar,机库
haring,鲱鱼
hazard,机遇
hektar,公顷
herold,传令官
higien,卫生
impuls,冲动
insign,徽章
intest,肠
jubile,周年庆
karton,纸板
kasked,帽子
kavern,洞穴
kirurg,外科
klimat,气候
klinik,诊所
kolegi,学院
kolomb,鸽
kolumn,列
komedi,喜剧
konsul,领事
konval,铃兰
kornik,灰鸦
kostum,服装
kredit,信用
kukurb,南瓜
kunikl,家兔
kurent,电流
lacert,蜥蜴
licenc,许可
maleol,踝骨
materi,物质
mirtel,越橘
monstr,怪物
oficir,军官
orator,演说家
papili,蝶
pendol,摆锤
period,时期
persik,桃
pionir,拓荒者
planed,行星
platan,悬铃木
plural,复数
profet,预言家
prolet,无产者
pronom,代词
reakci,反应
regxim,政体
rivolu,旋转
ruband,丝带
skorpi,蝎子
spinac,菠菜
stamen,雄蕊
statur,体型
surtut,大衣
sxakal,豺狼
sxauxm,泡沫
teknik,技术
testud,龟
torent,急流
trafik,交通
tumult,骚动
turism,旅游
turist,游客
vertic,顶点
viktim,受害者
violon,小提琴
vulkan,火山
vultur,秃鹰
abrikot,杏
akademi,学院
alfabet,字母表
alumini,铝
ambasad,大使
anekdot,趣闻
apertur,开口
apostol,使徒
asemble,集会
bagatel,小事
bakteri,细菌
bandagx,绷带
bifstek,牛排
budgxet,预算
burgxon,芽
central,电厂
cirkvit,电路
cxar/um##,
dimensi,维度
ekvator,赤道
element,元素
epidemi,流行病
fantazi,幻想
fenomen,现象
gelaten,明胶
general,将军
girland,花环
harmoni,和谐
instanc,审级
invalid,残疾人
kaldron,大锅
kasxtan,栗
katalog,目录
kirurgi,外科
kolonel,上校
komisar,专员
kompani,公司
koncept,概念
konkord,和谐
konkurs,比赛
koridor,走廊
kristal,晶体
lantern,灯笼
latitud,纬度
medicin,医学
mineral,矿物
minimum,最小
ministr,部长
obstakl,障碍物
orkestr,乐队
pacifik,太平洋
palpebr,眼皮
pantofl,拖鞋
paradiz,天堂
paralel,平行线
plastik,造型术
portret,肖像
princip,原则
program,程序
projekt,计划
proverb,谚语
provinc,省
rendevu,约会
sin/ten##,
situaci,处境
stadion,运动场
subjekt,主语
tehxnik,技术
tendenc,倾向
tinktur,染料
tradici,传统
tragedi,悲剧
traktat,条约
trumpet,喇叭
uniform,制服
vegetal,植物
viadukt,天桥
volumen,容量
zoologi,动物学
atlantik,大西洋
avantagx,优势
bracelet,手镯
cirkuler,传单
dokument,文件
federaci,联邦
generaci,代
geografi,地理
gramatik,语法
gxendarm,宪兵
horizont,地平线
individu,个体
kandidat,候选人
karnaval,狂欢节
kategori,类别
komun/um##,
krokodil,鳄鱼
longitud,经度
maksimum,最大
marmelad,果酱
monument,纪念碑
parasxut,伞
pasagxer,乘客
pland/um##,
porcelan,磁器
procent,百分比
profesor,教授
radiator,散热器
regiment,团
rekt/angul##,
sandvicx,三明治
sindikat,工会
singular,单数
specimen,样品
spektakl,表演
substanc,物质
teritori,领土
vertikal,垂直
ambasador,大使
auxstrali,澳大利亚
centimetr,厘米
ekspozici,展览
inspektor,监督
kalkan/um##,
konfidenc,知心话
lokomotiv,机车
matematik,数学
metalurgi,冶金
ministeri,部
najtingal,夜莺
ortografi,正字法
parlament,议会
proletari,无产者
propozici,命题
psikologi,心理学
suplement,补充
termometr,温度计
elektronik,电子学
helikopter,直升机
horizontal,水平
komplement,补充
konsekvenc,结果
konstituci,宪法
laboratori,实验室
leuxtenant,中尉
mediterane,地中海
substantiv,名词
universitat,大学
s-ro##,
s-ino##,
sinjor/in##,
alk,麋鹿
aln,桤木
ann,安娜
bed,苗床
boa,蟒蛇
buf,蟾蜍
cim,虫
col,寸
dam,贵妇
dig,堤
duk,公爵
fav,癣
fok,海豹
fut,英尺
gad,鱈鱼
gam,音阶
gri,碾麦
guf,鸮
huz,鲟鱼
kan,植
ken,树脂
ker,红心
kil,龙骨
kuf,帽
kul,蚊
kup,拔罐
laf,熔岩
lir,去
lod,半盎司
lol,毒麦
mac,无酵饼
mel,獾
mes,弥撒
mev,海鸥
muf,羊毛
muk,粘液
mul,骡
nap,萝卜
peg,啄木鸟
pol,波兰人
pul,跳蚤
rap,萝卜
rif,礁
rod,泊地
rot,队
rub,瓦砾
rum,朗姆酒
rus,俄人
seb,兽脂
sel,鞍
tez,命题
tul,薄纱
ulm,榆
uln,尺骨
unc,盎司
urn,壶
vil,绒毛
abat,院长
acer,枫树
akar,螨
alte,蜀葵
alun,明矾
amel,糊
anas,鸭
angl,英人
aniz,茴香
ankr,锚
arcx,弓
arde,鹭
aren,竞技场
atut,王牌
avel,榛子
aviz,通知
azot,氮
bast,树皮
bert,贝尔塔
blat,蟑螂
bram,鲷鱼
bran,麸
burd,熊蜂
cedr,雪松
citr,柠檬
cxam,羚羊
cxan,击锤
dogm,教条
drak,龙
drog,药物
ebon,乌木
eter,醚
fabl,寓言
falk,隼
fibr,纤维
flan,布丁
flok,片羽
flut,长笛
fraj,卵块
ftiz,肺结核
gajl,五倍子
gips,石膏
glan,橡果
glim,闪光
graf,伯
gril,蟋蟀
gros,醋栗
gurd,手摇风琴
ibis,朱鹮
idol,偶像
kalk,石灰
kand,冰糖
kard,蓟
karo,方块
kask,头盔
kaze,凝乳
kegl,柱
klap,瓣
klav,键
kluz,水闸
kojn,楔
koks,髋
konk,贝壳
kren,山葵
krep,绉纱
krop,嗉囊
krup,哮吼病
lake,仆人
laks,泻
legi,軍团
lent,扁豆
lepr,麻风病
lian,藤
lien,脾脏
link,猞猁
liut,琵琶
lojt,鲑鱼
lorn,望远镜
lumb,腰部
lutr,水獭
magi,魔术
mana,玛那
mari,玛丽
mask,面具
masx,编目
mecx,灯芯
mejl,哩
ment,薄荷
merl,乌鸫
mesi,救世主
mili,黍
mirh,没药
mirt,桃金娘
misi,使命
mops,哈巴狗
most,葡萄汁
nicx,壁癌
omar,龙虾
opal,蛋白石
ostr,牡蛎
paru,山雀
pecx,沥青
pelv,盆
perk,鲈鱼
pest,瘟疫
petr,彼得
pini,松树
pips,鸟舌病
plik,纠发病
plot,鱼
popl,杨树
pram,渡船
sakr,骶骨
salm,鲑鱼
sepi,墨鱼
sofi,索菲
sorp,花楸
spat,矿石
spin,脊柱
stab,幕僚
step,草原
stip,茅
stof,物质
stup,麻屑
sxak,棋
sxal,披肩
sxam,麂皮
taft,塔夫绸
talp,鼹鼠
tetr,雷鸟
tibi,颈骨
tili,椴树
tine,蛀虫
torf,泥炭
trab,梁
tref,梅花
tril,颤音
trip,肠
trog,槽
tron,王座
truf,松露
trul,抹子
trut,鳟鱼
turd,鸫
turk,土耳其人
turt,斑鸠
uter,子宫
uxat,瓦特
vafl,华夫
vals,华尔兹
vekt,秤杆
zebr,斑马
altar,祭坛
ambos,铁床
anton,安东
ardez,板岩
argil,黏土
aspid,眼鏡蛇
balen,鲸
barcx,罗宋汤
boben,线圈
brank,鳃
bubal,水牛
bufed,自助餐
cejan,矢车菊
dativ,与格
datur,曼陀罗
demon,恶魔
denar,银币
deviz,座右铭
domen,多米诺
embri,胚胎
emili,艾米莉亚
ermen,艾鼬
ermit,隐士
facet,面
fazan,雉
femur,大腿
filik,蕨
flegm,冷静
fokus,焦点
franc,法国人
frank,法郎
fring,雀
galon,饰带
gazel,瞪羚
genot,獴
georg,乔治
gitar,吉他
gland,腺
grosx,格羅申
hebre,希伯来人
heder,常春藤
herez,异端
herni,疝气
hirud,水蛭
hosti,圣餐饼
husar,轻骑兵
hxaos,混乱
idili,田园诗
johan,约翰
jozef,约瑟夫
kalik,圣杯
kambi,汇票
kamer,相机
kanab,麻
kanap,沙发
kapel,小教堂
kapon,去势公鸡
kapor,凤尾树
kapot,斗篷
karas,鲫鱼
karob,角豆
katun,棉布
kerub,天使
kiras,铠甲
klaft,尋
klosx,钟形玻璃器
koaks,焦炭
koleg,同事
kolon,柱
komiz,店员
komod,柜子
konus,圆锥
kopek,戈比
koran,古兰经
kramp,夹子
kring,圈饼
krisp,褶饰
krist,基督
kupol,穹顶
kvarc,石英
kvart,纯四度
lanug,绒毛
lauxr,月桂树
libel,蜻蜓
liken,地衣
livre,制服
logxi,住
lupol,啤酒花
lustr,吊灯
luter,路德
medal,奖牌
meriz,野樱桃
moned,寒鸦
morus,桑果
mosxt,阁下
negoc,交易
nobel,贵族
novic,新手
nuanc,细微差别
oblat,薄膜
okzal,酢浆草
orden,勋章
orgen,管风琴
pagxi,付钱
papav,罂粟
pariz,巴黎
pauxl,保罗
pavim,铺路
pedik,虱
percx,鱼
piked,哨兵
pilol,药丸
pirit,黄铁矿
pirol,朱雀
piroz,烧心
pisxt,活塞
plusx,织天
poent,得分
pokal,杯
polus,极
potas,灰汁
prujn,霜
pudel,貴賓犬
pumik,浮石
puncx,打孔
putor,臭猫
raben,拉比
rapir,细剑
regol,戴菊鸟
rezin,树脂
rostr,象鼻
ruben,红宝石
safir,蓝宝石
salvi,鼠尾草
sigel,封印
silab,音节
silik,硅石
silur,鲶鱼
silvi,西尔维
sirop,糖浆
skabi,疥疮
skadr,骑兵队
skarp,围巾
skvam,鳞
sorik,鼩鼱
spion,间谍
spron,马刺
stabl,工作台
sturg,鲟鱼
sturn,椋鸟
sxalm,笛子
sxark,鲨鱼
sxelk,背带
sxild,盾
sxind,板
sxlim,泥
taban,虻
tavol,层
tempi,太阳穴
tetan,破伤风
tetra,松鸡
timon,舵杆
topaz,黄玉
torcx,火炬
tromb,龙卷风
tulip,郁金香
ulcer,溃疡
urtik,荨麻
vanil,香草
vasal,家臣
velen,牛皮纸
verst,贝尔斯塔
vezir,宰相
vipur,蝮蛇
vokal,元音
zenit,天顶
zibel,貂
zizel,松鼠
absces,脓肿
absint,苦艾
alcion,翠鸟
amfibi,两栖动物
ananas,菠萝
artrit,关节炎
atripl,滨藜
berlin,柏林
bismut,铋
boraks,硼砂
buljon,高汤
bulonj,布洛涅
busxel,蒲式耳
centim,分
cikori,菊苣
cimbal,钹
cinabr,辰砂
cipres,柏树
cxarpi,纱布
damask,大马士革
delfen,海豚
didelf,负鼠
embusk,埋伏
epolet,肩章
erinac,刺猬
ernest,欧内斯特
eskadr,舰队
faktur,发票
falbal,褶饰
fantom,幽灵
faring,咽头
fenkol,茴香
ferdek,甲板
fistul,瘘管
flanel,法兰绒
fosfor,磷
frangx,装饰
furunk,疖
fusten,法斯特
galeri,画廊
gamasx,绑腿
german,德国人
granat,石榴
granit,花岗岩
grenad,手榴弹
grifel,石笔
gxiraf,长颈鹿
haladz,恶气
hamstr,仓鼠
hispan,西班牙人
hximer,奇美拉
hxoler,霍乱
ingven,腹股沟
izrael,以色列
jasmen,茉莉
kalesx,马车
kalvin,卡尔文
kamfor,樟脑
kamlot,卡姆洛
kanajl,流氓
kanari,金丝雀
kantor,歌手
kanvas,画布
kapsul,胶囊
kapucx,兜帽
kardel,金翅雀
karmin,胭脂红
karpen,鹅耳枥
kastor,海狸
kaviar,鱼子酱
kobalt,钴
kobold,妖精
kolbas,香肠
kolibr,蜂鸟
kolimb,鸊鷉
kolubr,眼鏡蛇
komuni,圣餐
kontor,办公室
kontur,轮廓
kornic,蛇腹
korpus,军团
koturn,鶉
kraken,饼干
kratag,山楂
krater,火山口
kronik,编年史
kurier,快递
lampir,萤火虫
laring,喉
lavang,雪崩
legend,传说
lekant,雏菊
lentug,雀斑
levkoj,紫罗兰
likvor,酒
litani,连祷
london,伦敦
magnet,磁石
makzel,颌
mangan,锰
markot,标记
marmor,大理石
marmot,旱獭
mastik,腻子
migdal,杏仁
miogal,麝鼠
miozot,勿忘草
monahx,僧侣
morbil,麻疹
morter,灰浆
muskat,肉豆蔻
muslin,穆斯林布
mustel,鼬
nanken,南京布
narcis,水仙
nikola,尼古拉
notari,公证人
orakol,神谕
paletr,调色板
panter,豹
parget,镶木
parohx,教区
parter,平地
pastel,糖果
patent,专利
patrol,巡逻队
pfenig,芬尼
pistak,开心果
pistol,手枪
plastr,膏药
platen,铂
ponard,匕首
porfir,斑岩
porter,波特
primol,樱草
prunel,李子
purpur,紫
rekrut,新兵
rempar,城墙
risort,弹簧
rosmar,海象
rozari,玫瑰园
rubrik,标题
safran,藏红花
sambuk,接骨木
sankci,制裁
sardel,沙丁鱼
sceptr,权杖
selakt,乳精
servic,餐具套装
servut,奴役
siring,丁香
skapol,肩胛骨
skarab,甲虫
skolop,鹬
skurgx,鞭子
sofism,诡辩
sopran,女高音
spalir,果樹牆
stefan,斯蒂芬
sufiks,后缀
sukcen,琥珀
sulfur,硫
talent,才华
tambur,鼓
tenden,腱
teodor,西奥多
termin,术语
testik,睾丸
timian,麝香草
tombak,人造金
trahxe,气管
tremol,颤杨
tribun,讲坛
tropik,回归线
turban,头巾
turkis,绿松石
turnir,锦标赛
urogal,松鸡
variol,天花
viburn,荚蒾
vikari,副牧师
vinagr,醋
vizier,帽檐
volupt,感官
ablativ,奪格
antimon,锑
arleken,小丑
arsenik,砷
artifik,诡计
asparag,芦笋
bajonet,刺刀
bastion,堡垒
beladon,颠茄
biskvit,饼干
cxampan,香槟
cxarnir,铰链
diamant,钻石
episkop,主教
esxafod,断头台
fraksen,白蜡树
frangol,鼠李
fringel,金翅雀
genitiv,属格
henriet,亨丽埃塔
hidrarg,汞
hiskiam,莨
histrik,豪猪
jugland,胡桃
juniper,杜松
kalikot,卡利科布
kamizol,背心
kamomil,洋甘菊
kapitan,船长
kapitel,柱头
kapreol,狍子
kapucen,修士
karaben,卡宾枪
kartocx,药包
karusel,旋转木马
kavalir,骑士
klarnet,单簧管
klister,灌肠
koklusx,百日咳
kolofon,松香
kompres,湿敷
kurator,监护人
kvitanc,收据
leontod,蒲公英
leopard,豹
limonad,柠檬水
lonicer,忍冬
ludovik,路德维克
lunatik,疯子
maroken,摩洛哥皮
marsxal,元帅
meleagr,火鸡
membran,膜
mihxael,米迦勒
monarhx,君主
mustard,芥末
negligx,睡衣
nikodem,尼科德
novjork,纽约
oksigen,氧气
oksikok,蔓越莓
parazit,寄生虫
pastecx,馅饼
pelikan,鹈鹕
perdrik,鹧鸪
poligon,多边形
prefiks,前缀
redakci,编辑部
rinocer,犀牛
salpetr,硝石
sentenc,格言
skarlat,猩红
skorbut,坏血病
skrofol,瘰疬
smerald,翡翠
sterled,鲟鱼
stertor,喘息
sxiller,席勒
umbilik,肚脐
univers,宇宙
varsovi,华沙
verdigr,铜绿
vertebr,脊椎
vespert,蝙蝠
vestibl,门厅
vilhelm,威廉
virtuoz,名家
vitriol,硫酸盐
zingibr,姜
akcipitr,鹰
akuzativ,対格
argument,论证
arhxaism,古语
artisxok,朝鲜蓟
baldaken,天篷
briliant,辉煌
diplomat,外交官
distrikt,区
elizabet,伊丽莎白
fragment,碎片
framason,共济会会员
frugileg,寒鸦
hidrogen,氢
hortulan,黄雀
institut,研究所
kantarid,虎甲虫
kariofil,丁香
kartilag,软骨
katarakt,白内障
kocxenil,胭脂虫
kokcinel,瓢虫
konvulsi,痉挛
leksikon,词典
marcipan,杏仁糖
medalion,大勋章
monarhxi,君主制
obstrukc,阻碍
paradoks,悖论
parentez,括号
particip,参与
pasament,饰带
pastinak,美洲防风
pergamen,羊皮纸
peritone,腹膜
perlamot,珍珠层
petromiz,八目鰻
petrosel,芹
ranunkol,毛茛
redaktor,编辑
rezultat,结果
rosmaren,迷迭香
sergxent,軍士
sublimat,升华
tacxment,分遣队
terebint,松节油
tornistr,书包
zamenhof,柴门霍
aleksandr,亚历山大
