adiaux,再见
anunciaci,受胎告知
balustrad,栏杆
cxambelan,侍从
cxarlatan,江湖骗子
deklinaci,变格
diplomati,外交
ekscelenc,阁下
ekzempler,例子
entuziasm,热情
fortepian,大钢琴
galanteri,化妆品
ihxtiokol,鱼类学
instituci,机构
instrukci,指示
kancelari,官房
kancelier,大法官
kataplasm,敷药
kondolenc,哀悼
konjugaci,动词变位
konjunkci,连词
konsonant,辅音
korporaci,法人
kvaranten,检疫船
nominativ,主格
pentekost,圣灵降临节
piedestal,基座
prepozici,介词
privilegi,特权
promontor,岬
salamandr,蝾螈
testament,遗嘱
vermicxel,粉丝
interjekci,感叹词
supersticx,迷信
vasxington,华盛顿
violoncxel,大提琴
arhxitektur,建筑
interpunkci,标点法
jork,约克
parok,教区
navig,航行
kaos,混沌
kimer,奇美拉
korus,合唱
monak,僧侣
iktiokol,鱼胶
ald,加
alo,芦荟
api,芹菜
ari,咏叹调
bas,巴士
car,沙皇
dog,獒
dok,船坞
doz,剂
ego,自我
elf,精灵
etn,族
faz,相位
fon,背景
fuk,海藻
gaz,纱布
gem,宝石
hum,腐殖土
jod,碘
jud,犹太人
kep,帽子
lat,木摺
lob,叶
mim,模仿者
mit,神话
muz,缪斯
nas,鱼梁
nav,船体
niz,雀鹰
oaz,绿洲
opi,鸦片
puf,膨胀
raj,鳐
ras,种族
ref,礁
rit,礼仪
rut,芸香
sod,碳酸钠
tif,伤寒
tog,袍
viz,签证
agat,玛瑙
agxi,商步
alen,刺针
ambr,龙涎香
amor,爱神
aort,大动脉
arom,香气
astm,哮喘
astr,天
azil,避难所
bard,吟游诗人
bomb,炸弹
bosk,灌木丛
brom,溴
bust,上半身
cend,分
cidr,苹果酒
cirk,圆形竞技场
dali,大丽花
dign,尊严
duel,决斗
duet,二重唱
ebur,象牙
eden,伊甸
egid,神盾
erik,石楠
etik,伦理
etim,词源
fars,滑稽剧
fili,分会
fisk,国库
furi,复仇女神
gnom,地精
grog,酒
gruz,砂砾
gxin,杜松子酒
hidr,水螅
hien,鬣狗
irid,鸢尾
iris,虹膜
istm,地峡
jesu,耶稣
junk,灯心草
kabl,电缆
kali,钾
kame,浮雕
kast,种姓
klor,氯
kofr,行李箱
kolz,油菜
kont,#ERROR!
krab,蟹
kres,长
kupe,车厢
laik,俗人
lama,喇嘛
lanc,枪
lens,镜片
lord,卿
malt,麦芽
mani,狂热者
medi,环境
milv,鸢
mitr,密特拉
moru,鱈鱼
mosk,麝香
mumi,木乃伊
naft,石脑油
negr,黑人
nimb,光环
norm,标准
obol,奧博羅斯
ogiv,尖拱
orgi,酒神祭
ozon,臭氧
penc,便士
pleb,平民
podi,台阶
polk,波尔卡
pomp,壮丽
pore,韭菜
rabi,狂犬病
rism,连
romb,菱形
rubl,卢布
sabr,军刀
sagu,西米
sald,余额
salv,齐射
sekt,派别
sfer,球
skem,图表
skol,学派
slip,便条
sokl,基座
sold,售
sole,比目鱼
spad,剑
sxah,沙阿
talk,滑石
teni,绦虫
tiar,王冠
tink,丁鲷
tors,躯干
tost,干杯
trop,比喻
turb,陀螺
ukaz,诏令
ulan,枪骑兵
uzur,高利
verv,热情
vink,长春花
visk,槲寄生
vist,桥牌
vizi,幻觉
zuav,阿尔及利亚步兵
abism,深渊
adept,信徒
afiks,接辞
afust,炮架
agraf,扣子
akaci,金合欢
akciz,消费税
aksel,腋下
albin,白化
alibi,不在场证明
aline,缩进
alkov,小房间
amfor,瓮
angin,咽峡炎
angor,苦闷
anten,天线
apati,冷漠
apoge,远地点
arkad,拱廊
arkiv,档案
arnik,山金车
atlas,地图册
atlet,運動員
aviad,飞行
balad,叙事诗
balet,芭蕾
barak,棚屋
baron,男爵
basen,水盆
beril,绿柱石
bibli,书
bigot,狂信者
biret,角帽
bitum,沥青
bivak,露营
brecx,裂缝
brocx,胸针
bronk,支气管
cigan,吉普赛人
cikut,毒芹
cxifr,密码
debat,辩论
dekan,院长
dilem,两难
diluv,洪水
divan,长椅
dolar,美元
drakm,德拉克马
dukat,达克特
edikt,诏令
eklog,牧歌
ekzem,湿疹
elegi,哀歌
elips,省略
elizi,省音
emfaz,强调
epope,史诗
fagot,巴松
fakir,苦行者
fatal,致命
feuxd,封土
fiakr,马车
fiask,失败
final,终幕
fjord,峡湾
forum,论坛
fresk,壁画
furor,流行
galer,桨帆船
galop,疾驰
garol,松鸦
goril,大猩猩
hamak,吊床
harem,后宫
harpi,哈耳庇
helic,螺旋桨
helik,蜗牛
hisop,牛膝草
hoboj,双簧管
humer,肱骨
idiom,成语
idiot,白痴
ileks,冬青
iluzi,幻觉
indiga,靛蓝
jalap,药用根
jud/ism##,
kabal,卡巴拉
kadet,军校生
kalif,哈里发
kanon,大炮
karat,克拉
kazin,赌场
kinin,奎宁
kirsx,樱桃酒
kloak,下水道
kobaj,豚鼠
kokon,茧
kolik,疝痛
kolos,巨像
komet,彗星
koral,珊瑚
korne,角膜
korol,花冠
kozak,哥萨克
krabr,黄蜂
kreol,克里奥尔
kript,地下室
kulis,幕后台
kumin,孜然
kvast,穗饰
kvint,五度
lagun,潟
lapis,硝石
larik,落叶松
later,数边
lazur,天蓝
legat,使节
lirik,抒情诗
madon,圣母
major,少校
mamut,猛犸
medol,髓
meduz,水母
melas,糖蜜
melis,柠檬草
miasm,瘴气
mimoz,含羞草
mitul,贻贝
moske,清真寺
motiv,动机
natri,钠
nikel,镍
nimfe,睡莲
noktu,夜鸟
nomad,游牧民
novel,小说
nunci,使者
oksid,氧化物
oktav,八度音
oniks,缟玛瑙
optik,光学
orbit,轨道
oriol,黄鹂
ovaci,喝彩
pagod,佛塔
panel,面板
panik,恐慌
paraf,签名
patos,激情
pedal,踏板
pedel,小官
peoni,牡丹
peruk,假发
pigme,俾格米
pirat,海盗
pivot,枢轴
polip,息肉
polis,保单
pomad,发油
prior,院长
prism,棱镜
psalm,圣歌
raket,火箭
rebus,谜语
retin,视网膜
retor,修辞学教师
rezed,木犀草
ricin,蓖麻
rokok,洛可可
rubus,覆盆子
rutin,惯例
saliv,唾液
satan,撒旦
saten,缎
seraf,炽天使
sifon,虹吸
sinap,芥末
sinod,宗会
siren,塞壬
skalp,头皮
skerc,诙谐曲
skism,分裂
sonat,奏鸣曲
sonet,十四行诗
spasm,痉挛
sperm,精液
splen,抑郁症
stopl,割株
strof,节
sutan,法衣
sxose,车道
sxpat,犁
taler,货币
tanin,单宁
tarok,塔罗
teism,有神论
teist,有神论者
templ,寺庙
tenor,男高音
teror,恐怖
tindr,火绒
tiran,暴君
tonel,吨位
trofe,奖杯
trust,信任
tunik,长袍
utopi,乌托邦
vanel,鸟
vinkt,扣件
viper,蝰蛇
viski,威士忌
zefir,微风
advent,降临节
aksiom,公理
akvari,鱼缸
algebr,代数
alkemi,炼金术
ambici,野心
amulet,护身符
anagal,蓝星花
anarki,无政府状态
anatom,解剖学
ancxov,凤尾鱼
anemon,银莲花
anilin,苯胺
aplomb,镇定
apolog,道歉
arbust,灌木
arhxiv,档案
asesor,陪审员
ateism,无神论
ateist,无神论者
auxkci,拍卖
balast,压舱物
balkon,阳台
balzam,香膏
bandit,山贼
barbar,野蛮人
barier,障碍
bateri,电池
batist,巴蒂斯特布
bazalt,玄武岩
beletr,美文
bilanc,资产负债表
bilard,台球
binokl,双筒镜
biolog,生物学
blazon,徽章
blokad,封锁
bordel,妓院
braman,婆罗门
brigad,旅团
buduar,闺房
burnus,斗篷
celeri,芹菜
cidoni,榅桲
ciklon,低压
ciklop,独眼巨人
dekret,法令
depesx,急报
despot,暴君
diabet,糖尿病
diadem,王冠饰
diakon,助祭
diplom,文凭
divizi,分配
dragon,龙
eklips,食
eksces,过量
ekstaz,狂喜
ekvaci,方程式
emblem,徽章
emulsi,乳剂
endivi,菊苣
epilog,尾声
epitet,修饰词
epizod,插曲
erupci,喷发
eskort,护送
estrad,台
etiket,礼仪
euxnuk,太监
ezofag,食道
faktor,因素
falang,方阵
fanfar,号角
feniks,凤凰
feston,节日
feticx,偶像
fleksi,屈曲
floren,弗罗林
format,印章
frakci,分数
fregat,护卫舰
galant,雪割草
gangli,神经节
genist,金雀花
geolog,地质学家
gerani,天竺葵
gigant,巨人
glazur,釉料
glikoz,葡萄糖
glukoz,葡萄糖
gondol,贡多拉
grafit,石墨
gulden,盾
harpun,鱼叉
hetman,酋长
hipnot,催眠
incens,香
indeks,索引
inflam,炎症
jaguar,美洲豹
jezuit,耶稣会士
jxaket,晨礼服
kadavr,尸体
kadenc,节奏
kalibr,口径
kameli,山茶
kantat,清唱剧
kanton,郡
karbon,碳
karcer,牢房
karier,职业
kariol,轻马车
katedr,讲座
kauxci,保证金
kazern,军营
kokard,徽章
kolodi,火棉胶
koloni,殖民
kompas,罗盘
kondor,秃鹰
konjak,白兰地
korife,合唱队长
kornet,短号
korsar,海盗船
korset,束腰
korvet,护卫舰
kotlet,炸肉排
kursiv,斜体
laktuk,莴苣
lavend,薰衣草
loteri,彩票
lucern,吊灯
maksim,最大
malari,疟疾
marasm,衰弱
markiz,侯爵
martir,殉教者
masagx,按摩
mazurk,马祖卡
medium,灵媒
melodi,旋律
mentor,导师
merkat,市场
mespil,枸杞
meteor,气象
metrik,韵律学
mikrob,微生物
mirakl,奇迹
miriad,无数
molusk,软体动物
monark,君主
morfin,吗啡
mozaik,马赛克
munici,军用
nektar,神酒
orkide,兰花
pacxul,广藿香
parodi,仿作
pavian,狒狒
pedant,学究
pepsin,胃蛋白酶
petard,鞭炮
piastr,比阿斯特
pistil,雌蕊
podagr,痛风
ponton,平底船
portal,正门
portik,门廊
prelat,主教
prelud,前奏
premis,前提
profan,亵渎者
profil,侧面
prolog,序幕
puding,布丁
pupitr,讲台
pustul,脓疱
rabarb,大黄
regent,摄政
rektor,校长
relief,浮雕
retort,罐头
romanc,浪漫
rotond,圆形建筑
sandal,凉鞋
santal,檀木
sarong,纱笼
satrap,总督
sektor,扇形
septet,七重奏
serajl,宫殿
sevrug,鲟鱼
sfinks,狮身人面像
siluet,剪影
simbol,符号
sinkop,晕厥
sintez,合成
skelet,骨骼
sofist,诡辩家
spektr,光谱
spiral,螺旋
sponde,长格
suflor,提词器
sultan,苏丹
sxalup,小艇
sxankr,下疳
sxarad,字谜
taksus,紫杉
taktik,战术
talmud,塔木德
tamtam,鼓
tandem,串联车
tapiok,木薯球
teolog,神学家
teorem,定理
terapi,疗法
tercet,三行诗
termit,白蚁
tonsur,剃发
torped,鱼雷
trapez,梯形
tribut,贡品
triumf,凯旋
turbin,涡轮
unison,齐奏
uragan,飓风
vampir,吸血鬼
verand,阳台
vermut,苦艾酒
vinjet,装饰图
zigzag,之字形
zodiak,黄道带
admiral,海军上将
aerolit,陨石
aforism,格言
agronom,农学家
akrobat,杂技演员
akvarel,水彩
alegori,寓言
alhxemi,炼金术
almanak,年鉴
ambrozi,神食
ametist,紫水晶
amnesti,赦免
anagram,易位构词
analogi,类推
anapest,短短長格
anatomi,解剖
angelik,当归
anomali,异常
antilop,羚羊
antipod,对跖地
antitez,对立
apoteoz,神化
apozici,同位
arabesk,阿拉伯式
arkaism,古语
asonanc,谐音
atavism,返祖现象
atribut,属性
auxreol,光环
bankier,银行家
barikad,路障
bariton,男中音
bastard,私生子
bazilik,圣殿
biograf,传记作家
biologi,生物学
bisturi,手术刀
bombast,夸夸其谈
botanik,植物学
celuloz,纤维素
ceramik,陶瓷
cilindr,圆筒
cistern,蓄水池
citadel,堡垒
cxevron,椽子
demagog,煽动家
diagnoz,诊断
dialekt,方言
diametr,直径
difteri,白喉
diftong,双元音
dinamik,动力
dinamit,炸药
dinasti,王朝
doktrin,学说
ekspres,快车
eliksir,灵药
eminenc,阁下
epiderm,表皮
epifani,主显节
epigraf,碑文
epigram,警句
erudici,博学
estetik,美学
etim/olog##,
etiolog,病因学
evoluci,进化
farmaci,药学
filolog,文献学
filozof,哲学家
fonetik,音韵学
fronton,山墙
gangren,坏疽
gardeni,栀子
gencian,龙胆
geodezi,测地学
geograf,地理学家
geologi,地质学
geometr,几何学者
gerundi,动名词
gilotin,断头台
gimnast,体操教练
gimnazi,中学
guberni,省
hiacint,风信子
hipotek,抵押权
hipotez,假设
histeri,癔症
homonim,同音异义词
hxirurg,外科医生
judaism,犹太教
jxargon,行话
kalomel,甘汞
kanaben,紅雀
kanibal,食人
kanonik,教士
kaporal,下士
karamel,焦糖
karavan,商队
kartusx,卡通
katolik,天主教徒
kazemat,堡垒
komplot,阴谋
koncesi,特许
kontakt,接触
korsajx,胸衣
kreozot,克辽索特
kriteri,标准
kvadril,方阵舞
kvestor,出纳官
letargi,昏睡
liturgi,礼拜仪式
lozangx,菱形
lumbrik,蚯蚓
mahagon,桃花心木
majolik,马约利卡
makadam,碎石路
makaron,马卡龙
malakit,孔雀石
mansard,阁楼房间
margxen,边缘
matador,斗牛士
mekanik,机械
merlang,鱈鱼
metafor,隐喻
minaret,尖塔
mirabel,蜜李
molekul,分子
monarki,君主制
monolog,独白
monopol,垄断
nikotin,尼古丁
obelisk,方尖碑
oleandr,夹竹桃
oligark,寡头
omnibus,公共马车
onobrik,花生
optativ,愿望式
pacient,患者
palinur,龙虾
pamflet,传单
panoram,全景
papirus,纸莎草
parabol,抛物线
parafin,石蜡
paskvil,讽刺文
pasxtel,粉彩
patolog,病理学
patrici,贵族
patriot,爱国者
pedagog,教育者
pelerin,披肩
pension,宿舍
percept,感知
pilastr,柱形
piramid,金字塔
plagiat,抄袭
plantag,车前草
polemik,论战
prefekt,知事
procesi,处理
prognoz,预想
prozodi,韵律
puritan,清教徒
retorik,修辞学
revizor,检察官
samovar,茶炊
sarkasm,讽刺
segment,线段
sekreci,分泌
semafor,信号机
serenad,小夜曲
sifilis,梅毒
simetri,对称
simfoni,交响曲
simptom,症状
sinagog,犹太会堂
sinedri,公会
sinonim,同义词
sintaks,句法学
skandal,丑闻
skrupul,细心
stearin,硬脂
sugesti,暗示
sxiling,先令
taburet,凳子
tangent,正切
teokrat,神权者
teologi,神学
trombon,长号
ultimat,最后通牒
uvertur,序曲
variant,变体
vazelin,凡士林
verdikt,判决
veteran,老手
vokativ,呼格
abnegaci,牺牲
adjutant,副官
aeroplan,飞机
agronomi,农学
akvafort,蚀刻
akvilegi,耧斗菜
alabastr,雪花石膏
aligator,短吻鱷
ambulanc,救护车
antipati,反感
antologi,文集
apostrof,撇号
arbalest,弩
areometr,比重计
arkeolog,考古学家
arkitekt,建筑师
artileri,炮兵
astrolog,占星师
astronom,天文学家
atmosfer,大气
auxdienc,会见
balistik,弹道学
balzamin,凤仙花
banderol,带封
barelief,浅浮雕
batalion,营
bazilisk,蛇怪
biografi,传记
ceremoni,仪式
dekadenc,衰退
delegaci,代表团
demagogi,煽动
demokrat,民主者
diafragm,膈膜
diagonal,对角线
diapazon,音叉
didaktik,教学法
difterit,白喉
diktator,独裁者
discxipl,弟子
dispepsi,消化不良
ditiramb,酒神頌
dromedar,单峰驼
ekstrakt,提取
epilepsi,癫痫
erizipel,丹毒
etimologi##,
etiologi,病因学
etnograf,民族学者
evangeli,福音书
faksimil,传真
fakultat,学部
felieton,专栏
feminism,女权主义
feminist,女权主义者
filologi,文献学
filozofi,哲学
fiziolog,生理学
fonograf,筒式留声机
galantin,加兰丁
garnitur,饰品套装
garnizon,守备队
genealog,系谱学
geometri,几何学
glicerin,甘油
gliciriz,甘草
grafolog,笔迹学家
gramofon,留声机
gutaperk,古塔胶
halebard,戟
harmonik,口琴
hegemoni,霸权
hekatomb,百牛祭
hierarki,等级制度
hipodrom,赛马场
honorari,酬金
horoskop,星图
hortensi,绣球花
hxirurgi,外科
idiotism,成语
imperial,屋顶席
indigxen,土著人
inkognit,隐姓埋名
intervju,采访
kalendul,金盏花
kardinal,枢机卿
katafalk,棺台
katakomb,地下墓穴
katedral,大教堂
katekist,传道师
kavaleri,骑兵
komandit,合资公司
konfekci,成衣
konflikt,冲突
kontralt,女低音
kontrast,对比
konvenci,协定
kosmetik,化妆
kreditor,债权人
ksilofon,木琴
kvocient,商
labirint,迷宫
lauxreat,优胜者
logaritm,对数
logogrif,字谜
makaroni,通心粉
mandaren,官员
mandolin,曼陀林
manifest,显现
manometr,压力计
margarin,人造黄油
marionet,木偶
mauxzole,陵墓
mekanism,机械
melodram,情节剧
meridian,子午线
metronom,节拍器
metropol,大都市
mikrofon,麦克风
miniatur,微型画
monogram,字母组合
monomani,偏执狂
naftalin,萘
narkotik,麻醉药
navigaci,航行
nekrolog,讣告
nepotism,裙带关系
nihilism,虚无主义
nihilist,虚无主义者
nostalgi,怀旧
numismat,钱币学者
obligaci,债券
oligarhx,寡头
oligarki,寡头政治
optimism,乐观主义
optimist,乐观者
organism,生物
orografi,地形学
pacifism,和平主义
pacifist,和平主义者
palanken,轿子
panteism,泛神论
panteist,泛神论者
pantomim,哑剧
paradigm,词形变化表
parafraz,释义
paragraf,段落
partitur,总谱
patologi,病理
pedagogi,教育学
perimetr,周长
peristil,柱廊
pesimism,悲观
pesimist,悲观者
pleonasm,冗言
poliglot,多语言者
preterit,過去
procedur,程序
projekci,投影
proporci,比例
prospekt,说明书
protokol,记录
prototip,原型
prozelit,改宗者
psikolog,心理学家
referenc,参考
renesanc,文艺复兴
reputaci,声誉
revelaci,启示
revolver,左轮
rojalist,王党
sacerdot,祭司
sakristi,圣器室
sarkofag,石棺
seminari,研讨会
sensaci,轰动
sfinkter,括约肌
silogism,三段论
solecism,语法错误
stipendi,奖学金
strategi,战略
subvenci,补助金
talisman,护符
tamburin,铃鼓
tarantel,塔兰泰拉
tarantul,狼蛛
teleskop,望远镜
teokrati,神权政
tipograf,排版师
topograf,地形学者
toreador,斗牛士
transept,翼廊
tuberkul,结核
amfiteatr,圆形剧场
apopleksi,中风
arbitraci,仲裁
arhxeolog,考古学家
arhxitekt,建筑师
aritmetik,算术
arkeologi,考古学
arkipelag,群岛
astrologi,占星
astronomi,天文
auxditori,礼堂
auxtograf,亲笔
auxtokrat,独裁者
deklaraci,声明
demokrati,民主
dialektik,辩证法
disciplin,纪律
disenteri,痢疾
entomolog,昆虫学家
etnografi,民族志
filantrop,慈善家
fiziologi,生理学
fizionomi,面相
fotografi,摄影术
genealogi,家谱学
gladiator,角斗士
grafologi,笔迹学
harmonium,风琴
heksametr,六步格
heliotrop,向日葵
hidrofobi,恐水症
hieroglif,象形文字
higrometr,湿度计
hipopotam,河马
homeopati,同种疗法
ideografi,表意文字
imperativ,命令式
imperfekt,未完成过去时
impresari,主办人
indikativ,直陈法
infanteri,步兵队
infinitiv,不定式
inkvizici,宗教裁判
intendant,管家
kabriolet,敞篷车
kandelabr,烛台
karikatur,讽刺画
kartograf,制图师
kastanjet,响板
katalepsi,强硬症
katastrof,灾难
katehxist,教理教师
kompromis,妥协
konduktor,乘务员
konkurenc,竞争
kontinent,大陆
kontrabas,低音提琴
konvolvul,牵牛花
kosmogoni,宇宙起源
kosmograf,宇宙学
krizantem,菊花
kronologi,年代学
kronometr,计时器
krucifiks,十字架
kvadratur,求积法
litografi,石版印刷
lokomobil,移动蒸汽机
melankoli,忧郁
metafizik,形上学
mikrometr,微米计
mikroskop,显微镜
mineralog,矿物学者
monoteism,一神教
neologism,新词
oligarhxi,寡头
ornitolog,鸟类学家
ostracism,陶片放逐
paleograf,古文字学者
palisandr,紫檀
paroksism,激发
pentametr,五步格
plutokrat,财阀
politeism,多神教
providenc,天意
pulcxinel,丑角
purgatori,炼狱
recitativ,朗诵部
reformaci,宗教改革
rekrement,渣滓
repertuar,曲目
rezignaci,放弃
sakrament,圣礼
sekundant,见证人
skarlatin,猩红热
skolastik,经院哲学
somnambul,梦游者
sortiment,样品套装
spekulaci,投机
spiritism,招魂术
spiritist,灵媒
stalagmit,石笋
stalaktit,钟乳石
statistik,统计
sxovinism,沙文主义
sxovinist,沙文主义者
tipografi,排版
topografi,地形学
velociped,自行车
veterinar,兽医
vivisekci,活体解剖
abiturient,毕业生
alternativ,选择
anakronism,时代错误
antropolog,人类学者
arhxeologi,考古学
arhxipelag,群岛
aristokrat,贵族
arkitektur,建筑学
auxtokrati,专制政权
beletristik,美文
bibliograf,书目学
civilizaci,文明
dinamometr,测力计
ekskrement,排泄物
entomologi,昆虫学
euxkaristi,圣餐
filantropi,博爱
hipertrofi,肥大
ingredienc,成分
inkvizitor,宗教官
kartografi,制图法
koeficient,系数
kompliment,恭维
kongregaci,教团
konsistori,枢机会议
kontraband,走私
kontribuci,赔偿金
kosmografi,宇宙誌
kosmopolit,世界公民
krestomati,诗文集
kvintesenc,精华
manufaktur,制造厂
manuskript,稿件
metamorfoz,变身
meteorolog,气象学家
mineralogi,矿物学
naturalism,自然主义
numismatik,钱币学
ornitologi,鸟类学
paleografi,古文字学
perspektiv,视角
plutokrati,财阀政治
pneuxmatik,轮胎
prerogativ,特权
pseuxdonim,假名
stenografi,速记
subjunktiv,虚拟式
superlativ,最高级
tuberkuloz,結核症
admiralitat,海军总部
antropologi,人类学
aristokrati,贵族统治
bibliografi,书目学
cirkumfleks,抑扬符
demonstraci,示威
departement,部门
enciklopedi,百科全书
hermafrodit,雌雄同体
hidrostatik,流体静力学
hidroterapi,水疗法
imperialism,帝国主义
inauxguraci,仪式
kalejdoskop,万花筒
kondicional,条件式
konfederaci,邦联
konglomerat,砾岩
kontrapunkt,对位法
manifestaci,示威
metempsikoz,轮回
meteorologi,气象学
observatori,天文台
paleontolog,古生物学
pleuxronekt,比目鱼
protagonist,主角
protektorat,保护国
pseuxd,假名
racionalism,理性主义
racionalist,理性主义者
reuxmatism,风湿病
temperament,气质
tragikomedi,悲喜剧
administraci,管理
demonstrativ,指示词
konservatori,音乐学校
paleontologi,古生物学
paralelogram,平行四边形
spiritualism,唯心论
spiritualist,唯心论者
trigonometri,三角学
auxtobiografi,自传
t.e.,即
k.t.p.,等等
kiom,多少
kiom##,
kiom##,
dum,在…期间
dum##,
gxis,至
gxis##,
anstataux,替代
anstataux##,
kiu##,
kiu,谁
tiu##,
tiu##,
cxiu,每个
cxiu##,
neniu,没有
neniu##,
ambaux,两者
ambaux##,
tiu cxi##,
tiu cxi##,
fiks,固定
fiks##,
fals,假
fals##,
cxu##,
cxu,吗？
kial,为什么
kial##,
kiel,如何
kiel##,
tamen,然而
tamen##,
apenaux,刚…就…
apenaux##,
kvazaux,仿佛
kvazaux##,
cxirkaux,周围
cxirkaux##,
precip##,
precip,主要的
tut,全体
tut##,
rest##,
rest,剩下
cxiel,多样
cxiel##,
interes,引起兴趣
interes##,
lig,连
lig##,
rul,滚
rul##,
arm##,
arm,武装
fos,挖土
fos##,
plant,种植
plant##,
orient##,
orient,东
fald,折叠
fald##,
kaj,和
kaj##,
amas,群集
amas##,
kopi,复制
kopi##,
fotograf,摄影
fotograf##,
cxar,因
cxar##,
fikci##,
fikci,虚构
nul,零
nul##,
klar##,
klar,清楚
artikol,冠词
artikol##,
auxgust,八月
auxgust##,
por,为
por##,
opozici,反对
opozici##,
fot,拍照
vibr,振动
oscil,振动
fluktu,波动
indigo,靛青
ad,继续
ad,继续
ag,行事
al,向
am,爱
an,员
ar,群体
as,现在时尾
at,进行中
av,祖父
bo,姻亲
ci,你
da,的量
de,的
di,神
Di,神
do,那么
du,二
ec,性
eg,强大
ej,地
ek,开始
el,从中
em,倾向
en,在
er,分子
et,弱小
fe,精灵
fi,呸
fi,卑劣
ge,两性
ha,啊！
he,喂！
ho,哇！
ia,某种
id,后代
ie,某处
ig,使
il,工具
in,雌性
io,某物某事
ir,走
is,過去式
it,被动
iu,某～
iu,某人
ja,确实
je,在
ju,越
ke,连
l',定冠词
la,定冠词
li,他
lu,租赁
mi,我
ne,不
ni,我们
nj,女
nu,注意
od,頌歌
ok,8
ol,比
on,分之一
op,集合数
or,金
os,将来时
ot,将要
ov,蛋
pi,虔诚
po,每
re,再
se,如果
si,自己
te,茶
uj,器皿
ul,者
um,不定
ur,野牛
us,虚拟动词尾
uz,用
ve,哎呀
vi,你，你们
