unu,一
du,二
tri,三
kvar,四
kvin,五
ses,六
sep,七
ok,八
naux,九
dek,十
cent,百
mil,千
nul,零
milion,兆
miliard,亿
dimancx,周日
lund,周月
mard,周火
merkred,周水
jxauxd,周木
vendred,周金
sabat,周土
januar,子月
februar,丑月
mart,寅月
april,卯月
maj,辰月
juni,巳月
juli,午月
auxgust,未月
septembr,申月
oktobr,酉月
novembr,戌月
decembr,亥月
cxin,中国
cxini,中国
azi,亚
euxrop,欧
afrik,非
amerik,美
mi,我
vi,你
li,他
sxi,她
gxi,它
ni,咱
ili,其
si,自
oni,人
bo,姻
dis,散
ek,刚
eks,前
ge,孥
mal,反
mis,误
pra,先
re,再
acx,坏
ad,屡
ajx,物
an,民
ar,汇
ebl,能
ec,素
eg,宏
ej,位
em,倾
end,须
er,屑
estr,首
et,微
id,仔
ig,使
igx,为
il,器
in,女
ind,值
ing,架
ism,义
ist,者
obl,倍
on,分
op,每
uj,国
ul,人
ki,何
ti,那
cxi,这
i,某
cxi,全
neni,无
acxet,买
adres,址
aer,气
afabl,善
afer,事
afisx,贴
ag,行
agrabl,愉
agx,龄
ajn,任
akcept,收
akr,锐
aktiv,跃
akv,水
al,向
alfabet,码
ali,另
alt,高
am,爱
amas,堆
amik,友
amuz,娱
angul,角
anim,魂
ankaux,也
ankoraux,尚
anonc,告
anstataux,弗
antaux,昔
aparat,器
apart,别
apenaux,仅
aper,显
apud,畔
arb,树
art,艺
artikol,章
asoci,盟
atak,攻
atend,等
atent,慎
ating,达
aux,或
auxd,听
auxskult,聆
(auxto)bus,巴
auxt(omobil),车
auxtun,秋
av,祖
aviad,航
babil,聊
baldaux,将
ban,浴
bat,击
batal,战
baz,基
bedauxr,厄
bel,美
best,兽
bezon,慈
bicikl,骑
bier,啤
bild,图
bilet,票
bird,鸟
blank,白
blov,刮
blu,蓝
bol,沸
bon,好
bord,界
botel,瓶
bov,牛
brak,臂
bril,闪
bru,噪
brul,燃
brun,棕
brust,胸
busx,嘴
centr,中
cert,然
cifer,码
cigared,烟
cirkl,圆
cxambr,房
cxapel,帽
cxar,因
cxarm,魅
cxe,于
cxef,主
cxemiz,衫
cxes,止
cxeval,马
cxi,此
cxiel,天
cxirkaux,约
cxu,焉
da,个
danc,舞
dangxer,危
dank,谢
dat,期
de,的
decid,决
defend,守
dekstr,右
demand,问
dens,密
dent,牙
depend,依
desegn,设
detal,祥
dev,需
dezir,要
di,神
diferenc,异
difin,定
dik,胖
dir,说
direkt,直
disk,碟
diskut,议
divers,杂
divid,分
do,故
doktor,博
dolcx,甜
dolor,痛
dom,屋
domagx,损
don,献
donac,赠
dorm,睡
dors,背
dosier,档
dub,疑
dum,当
dung,雇
eben,平
ecx,甚
eduk,教
edz,婚
egal,等
ekran,屏
ekster,外
ekzamen,考
ekzempl,例
ekzerc,练
ekzist,存
el,从
elekt,选
elektr,电
emoci,情
en,在
energi,能
erar,错
esper,希
esplor,探
est,是
fabrik,厂
facil,易
faden,线
fajr,火
fak,假
fakt,实
fal,落
fam,著
famili,家
far,做
felicx,福
fenestr,窗
fer,铁
ferm,关
fest,节
fiks,修
fil,子
film,影
fin,终
fingr,指
fisx,鱼
flag,旗
flank,侧
flav,黄
flor,花
flu,流
flug,飞
foj,次
foli,叶
font,泉
forges,忘
fork,叉
form,形
fort,强
fos,挖
fot,相
frat,胞
fraz,句
fresx,鲜
frost,霜
fru,早
frukt,果
fulm,雷
fum,霾
fusx,乱
gajn,赢
gas,气
gast,客
gazet,刊
glaci,冰
glas,玻
glit,滑
grand,巨
gras,脂
gratul,祝
gren,谷
griz,灰
grup,群
gvid,导
gxarden,园
gxen,厌
gxeneral,普
gxentil,绅
gxoj,乐
gxu,享
halt,停
har,发
hauxt,肤
hav,有
haven,港
hejm,家
hel,亮
help,助
herb,草
hieraux,昨
histori,史
hodiaux,今
hom,人
hor,时
horlogx,钟
hotel,栈
hund,狗
imag,想
imit,仿
industri,产
infan,幼
inform,告
insekt,虫
instru,教
insul,岛
inteligent,聪
intenc,意
inter,间
interes,兴
interpret,释
intervju,访
invit,请
ir,去
jar,年
jes,对
jugx,审
jup,裙
just,正
jxet,扔
kadr,框
kaf,咖
kaj,与
kalendar,历
kamp,营
kant,唱
kap,头
kapabl,能
kapt,抓
kar,亲
kart,卡
kasx,隐
kat,猫
kategori,类
kauxz,致
kaz,案
kelk,些
kest,盒
kilogram,兛
kilometr,粁
kis,吻
klak,按
klar,清
klas,班
klav,键
klin,折
knab,孩
kok,鸡
kol,脖
kolekt,集
koler,怒
kolor,色
komb,梳
komenc,始
koment,评
komerc,商
komfort,舒
komitat,委
kompar,比
kompat,怜
kompren,懂
komput,算
kon,识
konduk,领
konfes,坦
konkret,具
konkurs,赛
konsider,虑
konstant,稳
konstru,建
kontakt,联
kontrol,控
kor,心
korekt,对
korp,体
kort,院
kost,费
kostum,装
kovert,封
kovr,覆
krajon,蜡
kre,创
kred,信
kri,喊
krur,腿
kudr,缝
kuir,炊
kuk,糕
kuler,勺
kulp,罪
kur,跑
kurac,医
kuragx,勇
kurs,课
kusx,躺
kuz,従
kvadrat,方
kvalit,质
kvankam,虽
kvant,量
kvazaux,似
labor,劳
lac,累
lag,湖
lakt,奶
lamp,灯
land,国
lang,舌
largx,宽
las,让
last,持
laux,据
lav,洗
lecion,课
leg,读
legom,柠
legx,律
lern,学
lert,熟
leter,信
lev,升
libr,书
lig,链
lign,材
lim,限
lingv,语
lit,床
liter,字
logx,住
lok,处
long,长
lud,玩
lum,光
lun,月
man,手
mangx,食
mank,缺
mar,海
mark,标
marsx,走
masxin,机
maten,晨
material,料
mem,自
membr,员
memor,记
mend,定
met,放
metr,米
mez,中
miks,混
milit,军
minus,减
minut,分
mir,奇
modern,现
mok,嘲
mol,软
moment,时
mon,钱
monat,月
mond,世
mont,山
montr,示
morgaux,明
mort,死
mov,动
mult,多
mur,墙
mus,鼠
muze,馆
muzik,音
naci,族
nagx,泳
nask,生
naz,鼻
nebul,雾
neces,必
negx,雪
nek,否
nep,孙
nev,侄
nigr,黑
nokt,夜
nom,名
nombr,数
nord,北
normal,常
nov,新
nub,云
numer,号
obe,遵
objekt,物
observ,察
odor,闻
ofic,职
oft,常
okcident,西
okul,眼
okup,占
ole,油
ond,波
or,金
ord,序
ordon,令
orel,耳
organiz,组
orient,东
original,原
ost,骨
ov,蛋
pag,付
pagx,页
pak,裹
pantalon,裤
paper,纸
pardon,歉
park,园
parol,说
part,部
pas,过
pasx,步
patr,亲
pec,块
pend,挂
pens,思
pentr,画
perd,丢
perfekt,完
permes,许
person,人
pet,求
pez,重
pied,足
pilk,球
placx,悦
plant,植
plast,塑
plej,最
pli,更
plor,哭
plur,复
plus,加
pluv,雨
po,每
poem,诗
poezi,诵
polic,警
politik,政
pont,桥
popol,众
pord,门
pork,猪
port,携
posx,袋
posxt,邮
pot,锅
pov,能
praktik,练
prav,对
pregx,祈
premi,奖
pren,取
prepar,备
pres,印
prez,价
prezid,统
printemp,春
problem,题
profesi,专
profund,深
program,程
proksim,约
promes,诺
propr,自
prunt,借
publik,公
punkt,点
pup,娃
pur,净
pusx,推
rad,轮
radik,根
rajt,权
rakont,叙
rand,边
rang,级
rapid,快
raport,报
real,真
redakt,辑
reg,治
region,区
regul,规
regx,王
reklam,宣
renkont,遇
respekt,尊
respond,答
rest,休
ret,网
rezult,结
ricev,受
ricx,富
rid,笑
rigard,瞧
river,河
riz,米
romp,破
roz,粉
rugx,红
rul,轮
sagx,智
sak,包
sal,盐
salon,厅
salt,跳
salut,敬
sam,同
san,健
sang,血
sankt,圣
sat,饱
sci,知
scienc,科
se,若
segx,椅
sek,干
seks,性
sekv,跟
semajn,周
send,送
sent,感
sercx,寻
serioz,严
serv,务
sezon,季
sid,坐
sign,符
silent,静
simil,像
simpl,简
sinjor,君
skrib,写
soci,社
soif,渴
sol,独
soldat,兵
solv,解
somer,夏
son,响
special,特
spegul,镜
spekt,观
spic,辣
spirit,精
staci,站
star,立
stel,星
strang,陌
strat,街
stud,研
stult,愚
sub,下
sud,南
sufer,遭
suker,糖
sum,和
sun,日
sur,上
sxaf,羊
sxanc,运
sxangx,变
sxat,喜
sxip,船
sxir,撕
sxlos,锁
sxrank,柜
sxtat,州
sxtel,偷
sxtof,织
sxton,石
sxtup,阶
sxu,鞋
sxut,撒
tabl,桌
tabul,表
tag,日
tas,杯
tauxg,适
te,茶
teatr,剧
teknik,技
teler,盘
temp,时
ten,保
ter,地
tim,惊
tond,剪
traduk,译
trakt,待
trancx,切
trans,跨
trink,喝
tro,太
trov,找
tru,洞
tuk,巾
turn,转
tusx,触
tut,全
universal,通
urb,市
uz,用
varm,热
vast,敞
vek,醒
ven,来
vend,卖
venk,胜
vent,风
ver,真
verd,绿
verk,作
versx,倒
vesper,晚
vest,衣
vetur,旅
viand,肉
vic,列
vid,看
vilagx,村
vin,酒
vintr,冬
vir,士
virtual,虚
visx,擦
vitr,镜
viv,活
vizagx,脸
vizit,访
vocx,声
voj,路
vojagx,游
vok,叫
vol,愿
vort,词
abel,蜂
afrik,非
ajl,蒜
akir,获
akuzativ,宾
aligator,鳄
alternativ,替
amerik,美
analiz,析
anas,鸭
arane,蛛
ark,弧
artik,联
avenu,道
azen,驴
azi,亚
bak,烤
banan,蕉
beb,婴
benk,凳
bien,庄
biskvit,饼
blind,盲
boat,船
boj,吠
bot,靴
bovl,碗
brancx,枝
bret,架
bros,刷
budh,佛
butik,店
cxap,帽
celsi,摄
cep,葱
cerb,脑
cxin,中
dekliv,坡
detru,毁
dezert,漠
diamant,钻
diven,猜
drink,酗
dusx,浴
ebri,醉
elefant,象
etagx,层
etern,永
euxrop,欧
fajf,哨
fald,折
fand,融
farb,漆
febr,烧
fid,信
flam,焰
flar,味
fleg,护
formik,蚁
forn,炉
frag,莓
fromagx,酪
frot,擦
frunt,额
genu,膝
glat,滑
glav,剑
glob,球
glut,吞
gorgx,喉
grad,度
graved,孕
grimp,爬
ha,哈
hajl,雹
honor,誉
impost,税
inkluziv,含
interez,利
jxaluz,妒
japan,日本
jxurnal,刊
juvel,宝
kandel,烛
kapital,资
karb,煤
kastel,堡
koks,臀
kolomb,鸽
komplez,杂
kont,账
kontinent,洲
korb,篮
kore,高丽
kosxmar,噩
krim,罪
kubut,肘
kunikl,兔
kusen,枕
lan,毛
lauxd,赞
leon,狮
lip,唇
litr,升
lup,狼
magi,魔
mam,乳
mang,芒
manik,袖
matcx,赛
matrac,垫
medicin,药
menci,提
mensog,谎
migr,迁
mojos,酷
mongol,蒙古
mord,咬
mugx,哮
murd,谋
musx,蝇
muskol,肌
najbar,邻
nutr,养
ocean,洋
ombr,影
ombrel,伞
onidir,谣
orangx,橙
origin,源
pacient,患
paf,射
palac,殿
papili,蝶
parker,记
pejzagx,景
pek,罪
pekin,北京
pere,灭
pigr,懒
pilol,丸
plagx,滩
polus,极
polv,尘
pom,苹
profesor,授
profit,盈
pulm,肺
raz,剃
regxisor,董
restoraci,餐
rev,梦
rifugx,难
rifuz,拒
ripar,修
sabl,沙
salajr,薪
sald,额
sap,皂
sekret,秘
sekund,秒
serpent,蛇
simi,猴
solid,固
sonor,响
sxtrumpo,袜
suk,汁
sxuld,债
sxultr,肩
sup,汤
tapisx,毯
tendar,营
tern,嚏
test,测
testud,龟
tigr,虎
tomat,柿
tomb,墓
tondr,雷
trejn,练
trem,震
trik,织
tromp,骗
tur,塔
tus,咳
urs,熊
val,谷
valiz,箱
valut,币
vegetar,素
ventr,肚
viol,紫
vjetnam,越南
vost,尾
zip,链