adiaux,さよなら
lepor,野兎
makul,汚点
manik,袖
membr,メンバー
mizer,悲惨
nebul,霧
organ,器官
parti,党派
pastr,牧師
radik,根
serur,鍵
solid,固体
sonor,音
strek,線
sxvit,汗
tabak,タバコ
tabel,表
titol,タイトル
tondr,雷鳴
valiz,かばん
ventr,腹
alumet,マッチ
aparat,機器
brasik,キャベツ
citron,シトロン
cxifon,ぼろ
dekliv,斜面
dezert,砂漠
elektr,電気
energi,エネ
fiancx,婚約者
hirund,ツバメ
kelner,ウェイター
kvalit,質
majstr,名匠
mantel,マント
martel,ハンマー
matrac,マット
menton,顎
orangx,オレンジ
origin,起点
potenc,力
salajr,給与
sekund,秒
societ,社会
stomak,胃
sxultr,肩
tapisx,カーペット
tritik,小麦
aventur,冒険
cigared,タバコ
distanc,距離
embaras,困惑
kamarad,友人
kaserol,鍋
komitat,委員会
kongres,大会
kvadrat,正方形
magazen,倉庫
pasport,パスポート
politik,政治
registr,登録
ter/pom##,
akcident,事故
auxtobus,バス
auxtomat,自動
cxokolad,チョコ
direktor,監督
instinkt,本能
karakter,性格
kauxcxuk,ゴム
material,素材
standard,旗
telegraf,電信
restoraci,レストラン
ark,アーチ
baz,基
beb,赤ちゃん
bub,悪童
bud,小屋
fel,毛
hok,フック
huf,蹄
jur,法
kas,金庫
kin,映画
kom,カンマ
kot,泥
lup,狼
mam,乳房
map,地図
min,鉱山
mus,ネズミ
net,清書
nod,結び
orf,孤児
ort,直角
pat,鍋
pil,電池
pir,梨
pup,人形
rat,ネズミ
rip,肋
rob,ローブ
tip,先端
ton,音
urs,熊
var,商品
vel,帆
vit,葡萄
abel,蜂
auxt,車
bluz,ブラウス
boat,船
brov,眉
cerb,脳
cxek,小切手
cxen,鎖
disk,円
dram,劇
drap,ラシャ
dusx,シャワー
ezok,カワカマス
farb,絵具
febr,熱
fend,割れ
foir,市場
fost,柱
frag,イチゴ
fulg,すす
funt,ポンド
gant,手袋
geni,天才
glor,栄誉
golf,ゴルフ
hajl,雹
hero,ヒーロー
kemi,化学
kord,弦
kork,コルク
krad,格子
kran,蛇口
kret,チョーク
kriz,危機
kron,王冠
kugl,弾
kupr,銅
lift,リフト
list,リスト
mast,帆柱
nadl,針
nerv,神経
oliv,オリーブ
park,公園
pasi,情熱
pask,復活祭
pelt,毛皮
plet,盆
poem,詩
proz,散文
pulm,肺
pulv,火薬
rang,位
revu,雑誌
ritm,リズム
seks,性
sens,感覚
silk,シルク
simi,猿
sojl,敷居
stil,様式
stri,線
sxel,殻
tend,テント
verb,動詞
verg,枝
vert,頂
vidv,未亡人
virt,美徳
vual,ベール
vulp,狐
afisx,ポスター
album,アルバム
almoz,施物
arane,クモ
asoci,協会
avenu,街路
aviad/il##,
barel,たる
bazar,市場
betul,白樺
brems,制動
butik,店
detal,詳細
diabl,悪魔
emoci,感情
enigm,謎
esenc,本質
fauxk,口
fizik,物理
framb,フランボ
grajn,粒
hxemi,化学
ideal,理想
juvel,宝飾品
katen,足枷
kitel,スモック
krucx,水差し
krust,皮
kubut,肘
kukol,カッコウ
kverk,樫
lamen,薄片
marcx,沼
metod,手法
model,モデル
motor,エンジン
nivel,レベル
palac,宮殿
panj,ママ
penik,筆
piocx,つるはし
plumb,鉛
poezi,詩
salon,部屋
sauxc,ソース
sitel,バケツ
sklav,奴隷
sport,運動
stamp,印
stang,棒
stump,切株
sxtal,鋼
sxtof,布
teatr,劇場
teori,理論
teren,土地
trajn,列車
trajt,顔立ち
trunk,幹
venen,毒
vesxt,ベスト
abomen,嫌う
angxel,天使
animal,動物
apetit,食欲
apotek,薬局
benzin,ガソリン
bicikl,自転車
bombon,飴
cement,セメント
cxeriz,さくらんぼ
desert,デザート
fabrik,工場
financ,金融
funebr,葬
funkci,動作
garagx,車庫
imperi,帝
impost,税
impres,印象
kalkan,踵
kalson,ズボン
kamion,トラック
kandel,蝋燭
kanzon,歌
kastel,城
klient,客
kol/um##,
kurten,幕
mandat,委任
mister,謎
moskit,蚊
muskol,筋肉
ombrel,傘
pacxj,パパ
parfum,香り
patron,後援者
petrol,石油
posten,ポスト
pozici,位置
proces,訴訟
profit,利得
proviz,保存
pulvor,粉
recept,レシピ
rekord,記録
rezerv,予約
signal,信号
sistem,システム
surfac,表面
sxofor,運転手
tajlor,仕立屋
trezor,宝
trikot,編み物
vakcin,ワクチン
advokat,弁護士
alkohol,アルコール
ampleks,範囲
brosxur,小冊子
bulvard,大通り
deficit,赤字
ekonomi,経済
elefant,象
jxurnal,新聞
kabinet,内閣
kapital,資本
koncert,コンサート
krepusk,薄明
kvartal,地区
miliard,十億
pejzagx,景色
problem,問題
profesi,職業
simpati,共感
student,学生
sxrauxb,ねじ
tempest,嵐
traktor,トラクター
tri/angul##,
trotuar,歩道
adjektiv,形容詞
dekoraci,飾る
ekvilibr,均衡
esperant,エス語
hospital,病院
intelekt,知能
kalendar,暦
kilometr,キロメートル
komision,委員会
mehxanik,機械
milimetr,ミリ
original,原作
pretekst,言い訳
struktur,構造
telegram,電報
tribunal,裁判所
bibliotek,図書館
fundament,基盤
ingxenier,技師
konferenc,会議
konscienc,良心
literatur,文芸
mehxanism,機構
rekompenc,報酬
respublik,共和国
sekretari,秘書
apartament,アパート
auxtomobil,車
auxtoritat,権威
instrument,道具
medikament,薬
temperatur,温度
cirkonstanc,状況
eksperiment,実験
mal/varm/um##,
ajl,にんにく
akn,にきび
aks,軸
akt,幕
ale,並木
alg,藻
apr,猪
azi,アジア
bal,舞踏
bet,ビート
buk,留め具
cep,玉ねぎ
cir,靴磨き
dot,持参金
ehx,反響
fab,ソラマメ
fac,簡単
fag,ブナ
fig,イチジク
gal,胆汁
gru,鶴
gum,ゴム
hal,ホール
jug,軛
kal,たこ
kaz,格
kub,立方体
lad,ブリキ
lak,ラッカー
lap,ゴボウ
lin,リネン
lot,くじ
luk,天窓
mas,塊
mat,マット
nuk,うなじ
pap,法王
pav,孔雀
pig,カササギ
pus,膿
ran,蛙
ren,腎
rib,スグリ
rim,韻
rol,役
ros,露
sag,矢
sin,自己
ski,スキー
sof,ソファ
tig,茎
tuf,房
tun,トン
vip,ムチ
akci,株
atom,原子
aven,オートムギ
bant,リボン
bark,ボート
bask,裾
bend,曲げ
blok,ブロック
bors,証券所
bovl,ボウル
brid,手綱
brut,家畜
bukl,巻毛
bulb,球根
bulk,パン
cerv,鹿
cign,白鳥
cxel,細胞
dand,伊達
diet,ダイエット
dorn,トゲ
etap,段階
etat,明細
fecx,澱
felt,フェルト
frak,燕尾服
fraz,文
fung,キノコ
garb,束
gent,民族
glav,剣
gobi,ゴビ
gram,グラム
greg,群れ
grip,インフル
grot,洞窟
gudr,タール
gxib,腫れ
hegx,垣
himn,賛美歌
hxor,合唱
kacx,粥
kagx,鳥籠
kaka,ココア
kakt,サボテン
karn,肉
karp,鯉
kejl,釘
kern,核
klub,クラブ
korv,カラス
kosm,宇宙
kult,礼拝
lacx,疲れ
lard,ラード
larv,幼虫
lice,高校
likv,液
lili,ユリ
maiz,トウモロコシ
malv,ゼニアオイ
mens,心
menu,メニュー
miel,蜂蜜
musk,苔
muze,美術館
nuks,クルミ
oper,オペラ
oval,楕円
palm,ヤシ
palt,コート
pane,停止
perl,真珠
pian,ピアノ
pice,モミ
pipr,こしょう
plag,罰
prun,プラム
pudr,白粉
punt,レース
raci,理性
rent,賃料
ruin,廃墟
rust,さび
situ,位置
sled,そり
sorg,ソルガム
spik,穂
spur,跡
stan,錫
sulk,畝
takt,拍
tali,胴
tigr,虎
tort,タルト
tram,路面電車
trup,団
vaks,蝋
vejn,静脈
vesp,蜂
vind,おむつ
zink,亜鉛
afrik,アフリカ
agent,代理
akord,調和
akrid,バッタ
aktor,役者
alarm,警報
ampol,アンプル
angil,ウナギ
anser,ガチョウ
artik,関節
bacil,バチルス
bambu,竹
banan,バナナ
brand,酒
bronz,青銅
buked,ブーケ
cigar,シガー
cikad,セミ
cinam,シナモン
cindr,灰
cirkl,円
civit,市民
cxerk,棺
debet,負債
diant,カーネーション
dogan,関税
efekt,効果
ekran,画面
emajl,エナメル
event,出来事
fabel,おとぎ話
fasad,正面
fason,仕立て
fluid,液体
fotel,椅子
front,前
funel,漏斗
gxerm,芽
hepat,肝臓
horde,大麦
infer,地獄
ironi,皮肉
kaban,小屋
kahel,タイル
kajut,船室
kamel,ラクダ
kanal,運河
kankr,ザリガニ
karaf,カラフ
kokos,ココナッツ
krani,頭蓋
krest,鶏冠
kukum,キュウリ
kupon,クーポン
kusen,クッション
latun,黄銅
lauxb,亭
lekci,講義
lesiv,洗剤（せんざい）
limak,ナメクジ
logik,論理
lotus,蓮
melon,メロン
moral,倫理
muzel,鼻先
nilon,ナイロン
ocean,海洋
palat,口蓋
palis,杭
papag,オウム
paser,雀
pensi,考える
peron,階段
pilot,操縦士
pland,足裏
plast,プラ
porci,取り分
princ,王子
pupil,瞳
rabat,割引
rafan,大根
rauxp,幼虫
resum,概要
rimen,ベルト
roman,小説
salat,サラダ
salik,柳
satir,風刺
sciur,リス
sekal,ライ麦
sekci,切る
senat,上院
split,薄片
spong,スポンジ
stadi,段階
statu,像
sterk,肥料
strig,梟
strut,ダチョウ
sxink,ハム
sxtip,木片
tapet,壁紙
tarif,料金表
tegol,瓦
tekst,テキスト
teras,テラス
tomat,トマト
tuber,こぶ
tunel,トンネル
velur,ビロード
veruk,いぼ
vezik,嚢
volum,巻
adverb,副詞
akcent,強調
alauxd,ヒバリ
amator,素人
amerik,アメリカ
arteri,動脈
asfalt,舗装
auxtor,著者
barbir,理容師
bugxet,予算
bulten,会報
cikatr,瘢痕
cikoni,コウノトリ
cirkel,円
daktil,ナツメヤシ
dialog,対話
ego/ist##,
eklezi,教会
emerit,退職者
euxrop,ヨーロッパ
fajenc,陶器
fazeol,インゲン
fontan,噴水
formik,蟻
formul,式
fripon,詐欺師
furagx,飼料
galosx,長靴
gvardi,護衛
gxemel,双子
hangar,格納庫
haring,ニシン
hazard,危険
hektar,ヘクタール
herold,伝令
higien,衛生
impuls,衝動
insign,バッジ
intest,腸
jubile,祝祭
karton,ボール紙
kasked,帽子
kavern,洞穴
kirurg,外科医
klimat,気候
klinik,クリニック
kolegi,大学
kolomb,鳩
kolumn,欄
komedi,コメディ
konsul,領事
konval,スズラン
kornik,コガネムシ
kostum,衣装
kredit,信用
kukurb,カボチャ
kunikl,ウサギ
kurent,電流
lacert,トカゲ
licenc,許可
maleol,足首
materi,物質
mirtel,ミルト
monstr,怪物
oficir,士官
orator,演説者
papili,蝶
pendol,振り子
period,周期
persik,桃
pionir,先駆者
planed,惑星
platan,プラタナス
plural,複数
profet,預言者
prolet,労働者
pronom,代名詞
reakci,反応
regxim,政体
rivolu,回転
ruband,リボン
skorpi,サソリ
spinac,ホウレンソウ
stamen,雄しべ
statur,高さ
surtut,コート
sxakal,ジャッカル
sxauxm,泡
teknik,技術
testud,亀
torent,急流
trafik,交通
tumult,騒ぎ
turism,観光
turist,観光者
vertic,頂点
viktim,犠牲
violon,バイオリン
vulkan,火山
vultur,禿鷹
abrikot,杏
akademi,学会
alfabet,文字
alumini,アルミ
ambasad,大使
anekdot,エピソード
apertur,開口
apostol,使徒
asemble,会議
bagatel,些事
bakteri,細菌
bandagx,包帯
bifstek,ステーキ
budgxet,予算
burgxon,芽
central,中央
cirkvit,回路
cxar/um##,
dimensi,次元
ekvator,赤道
element,素
epidemi,疫病
fantazi,空想
fenomen,現象
gelaten,ゼラチン
general,将軍
girland,花飾
harmoni,調和
instanc,審級
invalid,無効
kaldron,釜
kasxtan,クリ
katalog,目録
kirurgi,外科
kolonel,大佐
komisar,委員
kompani,会社
koncept,概念
konkord,一致
konkurs,競技
koridor,通路
kristal,水晶
lantern,提灯
latitud,緯度
medicin,医療
mineral,鉱物
minimum,最小
ministr,大臣
obstakl,障害物
orkestr,オケ
pacifik,太平洋
palpebr,まぶた
pantofl,スリッパ
paradiz,天国
paralel,平行
plastik,プラスチック
portret,肖像
princip,原則
program,プログラム
projekt,計画
proverb,ことわざ
provinc,州
rendevu,約束
sin/ten##,
situaci,状況
stadion,スタジアム
subjekt,主語
tehxnik,技術
tendenc,傾向
tinktur,染料
tradici,伝統
tragedi,悲劇
traktat,条約
trumpet,トランペット
uniform,ユニフォーム
vegetal,植物
viadukt,陸橋
volumen,体積
zoologi,動物学
atlantik,大西洋
avantagx,有利
bracelet,ブレスレット
cirkuler,回覧
dokument,書類
federaci,連邦
generaci,世代
geografi,地理
gramatik,文法
gxendarm,憲兵
horizont,地平線
individu,個人
kandidat,候補
karnaval,カーニバル
kategori,分類
komun/um##,
krokodil,クロコ
longitud,経度
maksimum,最大
marmelad,ジャム
monument,碑
parasxut,パラシュート
pasagxer,客
pland/um##,
porcelan,陶器
procent,百分
profesor,教授
radiator,ラジエーター
regiment,連隊
rekt/angul##,
sandvicx,サンド
sindikat,組合
singular,単数
specimen,標本
spektakl,ショー
substanc,物質
teritori,領土
vertikal,垂直
ambasador,大使
auxstrali,豪州
centimetr,センチ
ekspozici,展示
inspektor,検査官
kalkan/um##,
konfidenc,秘密話
lokomotiv,機関車
matematik,数学
metalurgi,冶金
ministeri,省
najtingal,ナイチンゲール
ortografi,正書法
parlament,議会
proletari,労働者
propozici,提案
psikologi,心理学
suplement,追加
termometr,温度計
elektronik,電子
helikopter,ヘリコプター
horizontal,水平
komplement,補語
konsekvenc,結果
konstituci,憲法
laboratori,研究所
leuxtenant,中尉
mediterane,地中海
substantiv,名詞
universitat,大学
s-ro##,
s-ino##,
sinjor/in##,
alk,鹿
aln,ハンノキ
ann,アンナ
bed,ベッド
boa,大蛇
buf,ヒキガエル
cim,虫
col,インチ
dam,貴婦人
dig,掘
duk,公爵
fav,水虫
fok,アザラシ
fut,フィート
gad,タラ
gam,音階
gri,麦
guf,フクロウ
huz,チョウザメ
kan,植
ken,樹脂
ker,ハート
kil,竜骨
kuf,頭巾
kul,蚊
kup,吸玉
laf,溶岩
lir,行く
lod,ロッド
lol,毒麦
mac,マッツォ
mel,狸
mes,ミサ
mev,カモメ
muf,マフラー
muk,粘液
mul,ラバ
nap,カブ
peg,キツツキ
pol,ポーランド人
pul,ノミ
rap,大根
rif,礁
rod,港
rot,中隊
rub,瓦
rum,ラム
rus,ロシア人
seb,獣脂
sel,鞍
tez,命題
tul,チュール
ulm,ニレ
uln,尺骨
unc,オンス
urn,壺
vil,絨毛
abat,院長
acer,楓
akar,ダニ
alte,高い
alun,明礬
amel,糊
anas,アヒル
angl,英人
aniz,アニス
ankr,錨
arcx,弓
arde,鷺
aren,闘技場
atut,切り札
avel,ヘーゼルナッツ
aviz,通知
azot,窒素
bast,樹皮
bert,ベルタ
blat,ゴキブリ
bram,鯛
bran,ぬか
burd,蜂
cedr,杉
citr,シトロン
cxam,カモシカ
cxan,撃鉄
dogm,教義
drak,ドラゴン
drog,薬
ebon,黒檀
eter,エーテル
fabl,寓話
falk,鷹
fibr,繊維
flan,プリン
flok,羽片
flut,フルート
fraj,卵
ftiz,結核
gajl,五倍子
gips,ギプス
glan,どんぐり
glim,雲母
graf,伯
gril,コオロギ
gros,グースベリー
gurd,オルガン
ibis,トキ
idol,偶像
kalk,石灰
kand,氷糖
kard,アザミ
karo,ダイヤ
kask,ヘルメット
kaze,凝乳
kegl,ピン
klap,弁
klav,キー
kluz,水門
kojn,楔
koks,腰
konk,貝
kren,クレソン
krep,クレープ
krop,そのう
krup,クループ
lake,従者
laks,下痢
legi,読む
lent,レンズ豆
lepr,ハンセン病
lian,蔓
lien,脾臓
link,オオヤマネコ
liut,リュート
lojt,カワメンタイ
lorn,望遠
lumb,腰
lutr,カワウソ
magi,魔法
mana,マナ
mari,マリ
mask,マスク
masx,編み
mecx,芯
mejl,マイル
ment,ミント
merl,クロウタドリ
mesi,救世主
mili,キビ
mirh,没薬
mirt,ミルタ
misi,任務
mops,パグ
most,ジュース
nicx,壁
omar,ロブスター
opal,オパール
ostr,牡蠣
paru,シジュウガラ
pecx,ピッチ
pelv,骨盤
perk,パーチ
pest,ペスト
petr,ペテロ
pini,松
pips,鳥病
plik,病
plot,プロット
popl,ポプラ
pram,渡船
sakr,仙
salm,サケ
sepi,イカ
sofi,ソフィ
sorp,ナナカマド
spat,デイ石
spin,脊椎
stab,幕僚
step,草原
stip,茎
stof,布
stup,麻屑
sxak,チェス
sxal,ショール
sxam,セーム
taft,タフタ
talp,モグラ
tetr,雷鳥
tibi,脛骨
tili,菩提樹
tine,シミ
torf,泥炭
trab,梁
tref,クラブ
tril,トリル
trip,内臓
trog,飼槽
tron,王座
truf,松露
trul,こて
trut,鱒
turd,ツグミ
turk,トルコ
turt,鳩
uter,子宮
uxat,ワット
vafl,ワッフル
vals,ワルツ
vekt,棒
zebr,シマウマ
altar,祭壇
ambos,金床
anton,アントン
ardez,粘岩
argil,粘土
aspid,コブラ
balen,鯨
barcx,ボルシチ
boben,コイル
brank,えら
bubal,水牛
bufed,ビュッフェ
cejan,矢車菊
dativ,与格
datur,ダチュラ
demon,悪魔
denar,銀貨
deviz,座右の銘
domen,ドミノ
embri,胎児
emili,エミリ
ermen,エゾイタチ
ermit,隠者
facet,面
fazan,キジ
femur,大腿
filik,シダ
flegm,冷静
fokus,焦点
franc,仏人
frank,フラン
fring,アトリ
galon,縁取り
gazel,ガゼル
genot,ジェネット
georg,ジョルジュ
gitar,ギター
gland,腺
grosx,グロシェン
hebre,ヘブライ
heder,ツタ
herez,異端
herni,ヘルニア
hirud,ヒル
hosti,ホスト
husar,軽騎兵
hxaos,混乱
idili,田園詩
johan,ヨハン
jozef,ヨセフ
kalik,聖杯
kambi,手形
kamer,カメラ
kanab,麻
kanap,ソファ
kapel,礼拝堂
kapon,去勢鶏
kapor,カポック
kapot,コート
karas,鯉
karob,キャロブ
katun,綿布
kerub,ケルブ
kiras,装甲
klaft,尋
klosx,鐘形
koaks,コークス
koleg,同僚
kolon,柱
komiz,店員
komod,タンス
konus,円錐
kopek,コペイカ
koran,コーラン
kramp,クランプ
kring,プレッツェル
krisp,ひだ
krist,キリスト
kupol,ドーム
kvarc,石英
kvart,四度
lanug,産毛
lauxr,月桂
libel,トンボ
liken,地衣
livre,制服
logxi,住む
lupol,ホップ
lustr,シャンデリア
luter,ルター
medal,メダル
meriz,野桜
moned,コクマル
morus,桑実
mosxt,閣下
negoc,商取引
nobel,貴族
novic,修練者
nuanc,微妙
oblat,薬用紙
okzal,スイバ
orden,勲
orgen,オルガン
pagxi,小姓
papav,ケシ
pariz,パリ
pauxl,パウロ
pavim,舗装
pedik,シラミ
percx,魚
piked,哨所
pilol,錠剤
pirit,黄鉄
pirol,ウソ
piroz,胸焼け
pisxt,ピストン
plusx,プラス
poent,点
pokal,杯
polus,極
potas,灰
prujn,霜
pudel,プードル
pumik,軽石
puncx,ポン酢
putor,スカンク
raben,ラビ
rapir,レイピア
regol,キクイタダキ
rezin,樹脂
rostr,鼻
ruben,ルビー
safir,サファイア
salvi,セージ
sigel,封印
silab,音節
silik,ケイ石
silur,ナマズ
silvi,シルビ
sirop,シロップ
skabi,疥癬
skadr,隊
skarp,スカーフ
skvam,鱗
sorik,トガリネズミ
spion,スパイ
spron,拍車
stabl,台
sturg,チョウザメ
sturn,ムクドリ
sxalm,笛
sxark,サメ
sxelk,サスペンダー
sxild,盾
sxind,板
sxlim,泥
taban,アブ
tavol,層
tempi,こめ
tetan,破傷風
tetra,雷鳥
timon,舵
topaz,トパーズ
torcx,松明
tromb,竜巻
tulip,チューリップ
ulcer,潰瘍
urtik,イラクサ
vanil,バニラ
vasal,家臣
velen,羊皮紙
verst,ベルスタ
vezir,大臣
vipur,マムシ
vokal,母音
zenit,天頂
zibel,黒テン
zizel,リス
absces,膿疱
absint,ニガヨモギ
alcion,カワセミ
amfibi,両生類
ananas,パイン
artrit,関節炎
atripl,ハマアカザ
berlin,ベルリン
bismut,ビスマス
boraks,ホウ砂
buljon,ブイヨン
bulonj,ブローニュ
busxel,ブッシェル
centim,セント
cikori,チコリ
cimbal,シンバル
cinabr,辰砂
cipres,イトスギ
cxarpi,ガーゼ
damask,ダマスク
delfen,イルカ
didelf,オポッサム
embusk,待伏
epolet,肩章
erinac,ハリネズミ
ernest,エルネスト
eskadr,艦隊
faktur,請求書
falbal,フリル
fantom,幽霊
faring,咽
fenkol,フェンネル
ferdek,デッキ
fistul,瘻孔
flanel,フランネル
fosfor,リン
frangx,房飾り
furunk,おでき
fusten,ファスチアン
galeri,ギャラリー
gamasx,ゲートル
german,ドイツ人
granat,ザクロ
granit,花崗岩
grenad,手榴弾
grifel,チョーク
gxiraf,キリン
haladz,悪臭
hamstr,ハムスター
hispan,スペイン人
hximer,キメラ
hxoler,コレラ
ingven,鼠径
izrael,イスラエル
jasmen,ジャスミン
kalesx,馬車
kalvin,カルビン
kamfor,樟脳
kamlot,カムロ
kanajl,悪党
kanari,カナリア
kantor,聖歌隊員
kanvas,キャンバス
kapsul,カプセル
kapucx,フード
kardel,ヒワ
karmin,カルミン
karpen,イヌシデ
kastor,ビーバー
kaviar,キャビア
kobalt,コバルト
kobold,妖精
kolbas,ソーセージ
kolibr,ハチドリ
kolimb,アビ
kolubr,コブラ
komuni,聖餐
kontor,事務所
kontur,輪郭
kornic,軒蛇
korpus,軍団
koturn,ウズラ
kraken,クラケン
kratag,サンザシ
krater,火口
kronik,年代記
kurier,使者
lampir,ホタル
laring,喉頭
lavang,雪崩
legend,伝説
lekant,マーガレット
lentug,そばかす
levkoj,紫羅欄花
likvor,酒
litani,連祷
london,ロンドン
magnet,磁石
makzel,顎
mangan,マンガン
markot,印
marmor,大理石
marmot,マーモット
mastik,パテ
migdal,アーモンド
miogal,ジャコウネズミ
miozot,勿忘草
monahx,修道士
morbil,はしか
morter,モルタル
muskat,ナツメグ
muslin,モスリン
mustel,イタチ
nanken,木綿
narcis,水仙
nikola,ニコラ
notari,公証人
orakol,神託
paletr,パレット
panter,豹
parget,寄木
parohx,教区
parter,平土間
pastel,キャンディ
patent,特許
patrol,パトロール
pfenig,ペニヒ
pistak,ピスタチオ
pistol,銃
plastr,膏薬
platen,プラチナ
ponard,短剣
porfir,斑岩
porter,黒ビール
primol,桜草
prunel,プラム
purpur,紫
rekrut,新兵
rempar,城壁
risort,スプリング
rosmar,セイウチ
rozari,ロザリオ
rubrik,見出し
safran,サフラン
sambuk,ニワトコ
sankci,制裁
sardel,アンチョビ
sceptr,王杖
selakt,クリーム
servic,セット
servut,農奴
siring,ライラック
skapol,肩甲骨
skarab,カブト虫
skolop,シギ
skurgx,むち
sofism,詭弁
sopran,ソプラノ
spalir,果樹垣
stefan,ステファン
sufiks,接尾辞
sukcen,琥珀
sulfur,硫黄
talent,才能
tambur,ドラム
tenden,腱
teodor,テオドール
termin,用語
testik,睾丸
timian,タイム
tombak,黄銅
trahxe,気管
tremol,ポプラ
tribun,壇
tropik,回帰線
turban,ターバン
turkis,トルコ石
turnir,トーナメント
urogal,ライチョウ
variol,天然痘
viburn,ガマズミ
vikari,代理司祭
vinagr,酢
vizier,ひさし
volupt,快楽
ablativ,奪格
antimon,アンチモン
arleken,道化
arsenik,亜ヒ酸
artifik,策略
asparag,アスパラガス
bajonet,銃剣
bastion,堡塁
beladon,ベラドンナ
biskvit,ビスケット
cxampan,シャンパン
cxarnir,蝶番
diamant,ダイヤモンド
episkop,司教
esxafod,処刑台
fraksen,トネリコ
frangol,クロウメモドキ
fringel,マヒワ
genitiv,属格
henriet,ヘンリエッタ
hidrarg,水銀
hiskiam,ヒヨス
histrik,ヤマアラシ
jugland,クルミ
juniper,ネズ
kalikot,キャラコ
kamizol,キャミソール
kamomil,カモミール
kapitan,船長
kapitel,柱頭
kapreol,ノロ
kapucen,修道士
karaben,カービン
kartocx,弾薬
karusel,メリーゴーランド
kavalir,騎士
klarnet,クラリネット
klister,浣腸
koklusx,百日咳
kolofon,コロフォン
kompres,湿布
kurator,管財人
kvitanc,領収書
leontod,タンポポ
leopard,ヒョウ
limonad,レモネード
lonicer,スイカズラ
ludovik,ルドビク
lunatik,精神病者
maroken,モロッコ
marsxal,元帥
meleagr,七面鳥
membran,膜
mihxael,ミカエル
monarhx,君主
mustard,マスタード
negligx,寝間着
nikodem,ニコ
novjork,ニューヨーク
oksigen,酸素
oksikok,クランベリー
parazit,寄生虫
pastecx,パイ
pelikan,ペリカン
perdrik,シャコ
poligon,多角形
prefiks,接頭辞
redakci,編集
rinocer,サイ
salpetr,硝石
sentenc,格言
skarlat,緋
skorbut,壊血病
skrofol,瘰癧
smerald,エメラルド
sterled,チョウザメ
stertor,喘ぎ
sxiller,シラー
umbilik,へそ
univers,宇宙
varsovi,ワルシャワ
verdigr,緑青
vertebr,脊椎
vespert,蝙蝠
vestibl,玄関
vilhelm,ウィル
virtuoz,達人
vitriol,硫酸塩
zingibr,生姜
akcipitr,鷹
akuzativ,対格
argument,議論
arhxaism,古語
artisxok,アザミ
baldaken,天蓋
briliant,輝く
diplomat,外交官
distrikt,地区
elizabet,エリザベス
fragment,破片
framason,フリーメーソン
frugileg,ミヤマガラ
hidrogen,水素
hortulan,アオジ
institut,研究所
kantarid,ハンミョウ
kariofil,丁子
kartilag,軟骨
katarakt,白内障
kocxenil,コチニール
kokcinel,テントウムシ
konvulsi,痙攣
leksikon,辞典
marcipan,マジパン
medalion,メダル
monarhxi,君主制
obstrukc,妨害
paradoks,パラドックス
parentez,括弧
particip,参加
pasament,縁飾り
pastinak,パースニップ
pergamen,羊皮紙
peritone,腹膜
perlamot,真珠
