世界语单词,词性与重要性,候选汉字1,候选汉字2
adiaux,間7,再见,别
bis,間o,,再
hura,間o,,欢
uxa,擬f,,叫
kia,形1,何a,样
tia,形1,,此
cxia,形1,全a,全
kies,形1,何有,的
nenia,形1,无a,无
ali,形2,异,的
alt,形2,高,高
bel,形2,美,丽
bon,形2,好,良
jun,形2,青,年
nov,形2,新,新
sam,形2,同,一
fort,形2,强,强
grav,形2,重,要
kelk,形2,几,几
last,形2,末,尾
long,形2,长,长
mult,形2,多,多
plen,形2,满,满
ricx,形2,富,富
rugx,形2,红,红
facil,形2,易,易
grand,形2,大,大
liber,形2,自由,放
rapid,形2,速,速
felicx,形2,幸,乐
proksim,形2,近,近
fru,形3,早,早
pur,形3,净,纯
sol,形3,独,独
ver,形3,真,实
cert,形3,确,确
nigr,形3,黑,黑
varm,形3,暖,温
afabl,形3,和蔼,和
blank,形3,白,白
dolcx,形3,甜,柔
neces,形3,必,要
propr,形3,私,特
simpl,形3,简,易
dekstr,形3,右,正
kuragx,形3,勇,勇
trankvil,形3,安,静
blu,形4,蓝,蓝
dik,形4,粗,厚
gaj,形4,乐,乐
hel,形4,光,明
kar,形4,爱,爱
lac,形4,累,疲
san,形4,健,健
sat,形4,饱,满
just,形4,正,正
prav,形4,法,法
pret,形4,备,备
util,形4,用,用
verd,形4,绿,绿
apart,形4,独,异
atent,形4,注意,心
fremd,形4,异,外
gxust,形4,正,正
komun,形4,共,共
largx,形4,宽,宽
agrabl,形4,愉快,悦
divers,形4,多,多
intern,形4,内,内
suficx,形4,后缀,补
kontent,形4,满,满
profund,形4,深,深
mol,形5,柔,软
pez,形5,重,重
sek,形5,旱,干
brun,形5,棕,色
egal,形5,平,等
flav,形5,黄,黄
griz,形5,灰,灰
kulp,形5,罪,责
lert,形5,巧,能
rekt,形5,直,直
sagx,形5,智,明
vast,形5,阔,宽
ceter,形5,余,余
fresx,形5,新,新
simil,形5,似,似
kapabl,形5,能,能
serioz,形5,严肃,重
efektiv,形5,有效,效
ordinar,形5,平凡,常
akr,形6,锋,尖
fam,形6,名,名
ies,形6,有,有
avar,形6,贪,心
dens,形6,密,密
eben,形6,平,平
fier,形6,傲,傲
firm,形6,坚,坚
nepr,形6,必,要
plat,形6,平,平
plur,形6,多,多
surd,形6,聋,听
vigl,形6,活,活
fidel,形6,忠,信
kviet,形6,静,静
matur,形6,成熟,成
sankt,形6,圣,圣
spert,形6,经,熟
subit,形6,突,急
tauxg,形6,用,益
honest,形6,诚,正
konven,形6,适,合
plur,形6,多,多
preciz,形6,精,确
strang,形6,怪,奇
delikat,形6,精致,弱
gxentil,形6,雅,雅
komfort,形6,舒适,安
pacienc,形6,耐心,忍
special,形6,特,特
gxeneral,形6,总,通
konstant,形6,恒,定
lam,形7,瘸,行
mut,形7,变,变
nud,形7,裸,露
pal,形7,苍,苍
ruz,形7,狡,诈
van,形7,虚,空
acid,形7,酸,酸
glat,形7,滑,滑
kler,形7,智,明
krud,形7,原,原
mild,形7,温,和
abund,形7,丰,富
blind,形7,盲,不
blond,形7,金,色
cxarm,形7,魅,人
etern,形7,永,不
favor,形7,爱,爱
graci,形7,雅,雅
humil,形7,卑,谦
lauxt,形7,响,高
sever,形7,严,严
stult,形7,愚,笨
fortik,形7,坚,强
frenez,形7,疯,乱
kurioz,形7,好奇,奇
privat,形7,私,自
sincer,形7,诚,诚
evident,形7,显,明
oportun,形7,适,宜
prudent,形7,慎,思
sci/vol##,形7,求,求
diligent,形7,勤,勤
proksim/um##,形7,近,近
ard,形8,热,热
avid,形8,渴,求
brav,形8,勇,敢
ebri,形8,醉,醉
krut,形8,峻,峻
naiv,形8,天真,纯
nobl,形8,贵,贵
sobr,形8,节,节
humid,形8,湿,湿
ident,形8,一,一
komik,形8,滑稽,笑
kripl,形8,残,缺
kruel,形8,残,心
moder,形8,适,适
sagac,形8,聪,敏
seren,形8,静,静
sprit,形8,灵,巧
akurat,形8,准,时
fervor,形8,热,心
inklin,形8,倾,向
jxaluz,形8,嫉妒,心
kapric,形8,变,变
modern,形8,现,新
modest,形8,谦,谦
nenies,形8,无,有
normal,形8,常,常
sovagx,形8,野,生
ekstrem,形8,极,极
elegant,形8,雅,雅
eminent,形8,卓越,显
komplet,形8,完,全
oficial,形8,官,公
perfekt,形8,完美,完
probabl,形8,可能,似
reciprok,形8,互,互
indiferent,形8,漠,不
inteligent,形8,智,智
amar,形9,苦,苦
imun,形9,免疫,免
real,形9,实,实
ties,形9,的,的
unik,形9,唯,特
vant,形9,虚,虚
virg,形9,童,纯
aktiv,形9,活,动
civil,形9,文,民
cxies,形9,所有,的
elast,形9,弹,性
human,形9,人,人
intim,形9,亲,情
kaduk,形9,衰,衰
koket,形9,撩,风
lojal,形9,忠,忠
malic,形9,恶,恶
mir/ind##,形9,奇,奇
rauxk,形9,哑,哑
rigid,形9,硬,固
sekur,形9,安,安
solen,形9,威,严
tener,形9,温,温
valid,形9,有效,认
abrupt,形9,突,变
absurd,形9,荒谬,不
aktual,形9,当前,行
arbitr,形9,任,意
auxdac,形9,助,助
ekzakt,形9,准,确
furioz,形9,愤,怒
graved,形9,孕,孕
klasik,形9,典,古
majest,形9,威,高
nervoz,形9,紧张,不
oblikv,形9,斜,斜
obstin,形9,固执,硬
plen/agx##,形9,成,成
social,形9,社,会
subtil,形9,细,巧
tragik,形9,悲,悲
absolut,形9,绝,全
kontant,形9,现金,满
popular,形9,流行,广
relativ,形9,相,相
sin/don##,形9,献,献
solidar,形9,团结,共
vegetar,形9,素,食
familiar,形9,亲,亲
grandioz,形9,宏,大
kolektiv,形9,集,集
sin/gard##,形9,专,心
kompetent,形9,专,精
universal,形9,普,全
kvit,形f,清,清
miop,形f,近,视
punc,形f,红,红
ranc,形f,败,衰
cxast,形f,贞,贞
ekstr,形f,额,特
masiv,形f,巨,大
antikv,形f,古,古
arogant,形f,傲,高
konform,形f,一致,合
trivial,形f,琐,微
elokvent,形f,雄辩,辩
kriminal,形f,犯罪,法
predikat,形f,述,述
akut,形o,锐,利
dual,形o,双,双
hirt,形o,毛,毛
kalv,形o,秃,发
banal,形o,平凡,常
cinik,形o,讽,讽
gotik,形o,哥特式,古
inert,形o,惰,惰
obtuz,形o,钝,笨
okult,形o,秘,密
pasiv,形o,被,受
rigor,形o,严,规
stoik,形o,坚,坚
analog,形o,仿,似
anonim,形o,匿,名
arkaik,形o,古,古
diafan,形o,透明,明
efemer,形o,瞬,速
erotik,形o,色,情
fiktiv,形o,虚,幻
formal,形o,正,规
frivol,形o,轻,不
intens,形o,烈,烈
invers,形o,逆,反
konciz,形o,简,简
konkav,形o,凹,凹
mistik,形o,神秘,秘
neuxtr,形o,中,中
vulgar,形o,俗,粗
akcesor,形o,配,件
apokrif,形o,伪,造
arhxaik,形o,古,古
burlesk,形o,滑稽,笑
decimal,形o,十,数
diskret,形o,谨慎,密
fanatik,形o,狂,忠
grotesk,形o,怪,怪
konkret,形o,具,实
kontinu,形o,续,持
liberal,形o,自由,容
monoton,形o,单调,单
negativ,形o,否,的
nominal,形o,名,名
pozitiv,形o,积极,信
radikal,形o,根,革
skeptik,形o,怀疑,疑
solvent,形o,偿,清
abstrakt,形o,抽象,思
auxtonom,形o,自治,自
eventual,形o,可能,机
inkluziv,形o,包括,性
neuxtral,形o,中,公
objektiv,形o,客观,实
ortodoks,形o,正,教
primitiv,形o,原始,原
provizor,形o,代,暂
racional,形o,理,理
romantik,形o,浪漫,情
sinoptik,形o,气象,要
spontane,形o,自发,自
auxtentik,形o,真,实
definitiv,形o,定,定
ekskluziv,形o,独家,特
korelativ,形o,相关,相
respektiv,形o,各,各
subjektiv,形o,主观,自
transitiv,形o,变,变
spekulativ,形o,推测,想
impertinent,形o,无礼,不
konservativ,形o,保守,守
sentimental,形o,情,情
dek,数1,,十
mil,数1,,千
sep,数1,,一
ses,数1,,六
tri,数1,,三
unu,数1,,一
cent,数1,,百
kvar,数1,,方
kvin,数1,,五
naux,数1,,九
aux,接1,,助
nek,接1,无,无
sed,接1,,然
kvankam,接1,,然
plus,接8,增,增
minus,接8,减,减
cxe,前1,处,地
kun,前1,共,同
per,前1,凭,借
pri,前1,关,于
pro,前1,因,因
sen,前1,无,不
sub,前1,下,下
sur,前1,上,上
tra,前1,通,通
apud,前1,旁,近
krom,前1,外,外
laux,前1,依,合
post,前1,后,后
inter,前1,间,中
super,前1,超,上
trans,前1,隔,对
antaux,前1,前,前
ekster,前1,外,外
preter,前1,经过,过
kontraux,前1,反,对
malgraux,前7,,然
gxi,代1,,女
ili,代1,们,们
kio,代1,何o,何
oni,代1,人,们
sxi,代1,她,女
tio,代1,,此
cxio,代1,全o,全
nenio,代1,无o,无
tio cxi##,代1,这,此
dis,頭1,散,散
mal,頭1,非,非
cxef,頭1,首,长
eks,頭9,前,前
mis,頭9,误,错
pra,頭9,原,古
dev,動2,必,必
dir,動2,说,述
don,動2,赠,赠
est,動2,是,现
far,動2,做,行
fin,動2,结束,止
hav,動2,有,有
kon,動2,识,知
leg,動2,阅,阅
lev,動2,举,起
met,動2,置,放
mov,動2,动,动
pet,動2,求,求
pov,動2,能,能
rid,動2,笑,笑
sci,動2,知,知
sid,動2,坐,坐
ten,動2,持,持
ven,動2,来,来
vid,動2,见,见
viv,動2,生,生
vol,動2,愿,望
gxoj,動2,快,喜
help,動2,帮,助
kred,動2,信,信
lern,動2,学,学
logx,動2,住,住
mort,動2,死,世
okaz,動2,发生,行
port,動2,运,运
pren,動2,拿,取
sekv,動2,跟,随
send,動2,送,送
star,動2,立,立
dezir,動2,希望,求
labor,動2,工,工
milit,動2,战,战
montr,動2,显示,示
parol,動2,说,述
ricev,動2,接,领
skrib,動2,书,绘
sxajn,動2,显,现
vetur,動2,行,行
demand,動2,要求,问
komenc,動2,开始,开
kompren,動2,理解,解
respond,動2,答,回
bat,動3,击,打
fal,動3,跌,落
kri,動3,喊,呼
kur,動3,跑,行
las,動3,放,放
lum,動3,光,光
mir,動3,奇,奇
pag,動3,付,付
pas,動3,通过,过
reg,動3,治,治
son,動3,声,声
tim,動3,恐,畏
tir,動3,拉,引
auxd,動3,听,听
brul,動3,燃,动
dank,動3,谢,谢
dorm,動3,睡,睡
ferm,動3,关闭,闭
flug,動3,飞,空
halt,動3,停,止
jxet,動3,投,投
kant,動3,歌,歌
kost,動3,成本,价
mank,動3,缺,缺
nask,動3,生,生
okup,動3,占,占
pens,動3,思,思
perd,動3,丢,失
prem,動3,压,压
prov,動3,试,试
sent,動3,感,感
turn,動3,转,转
acxet,動3,买,购
atend,動3,等,待
bezon,動3,需,要
kresk,動3,成,长
mangx,動3,吃,食
memor,動3,记,记
sercx,動3,搜索,探
trink,動3,喝,饮
konsil,動3,建议,导
permes,動3,允,允
postul,動3,要求,求
rakont,動3,故事,述
rigard,動3,看,视
rimark,動3,注意,识
sxangx,動3,变,换
vojagx,動3,旅,游
konstru,動3,建,建
prezent,動3,展示,示
renkont,動3,遇,见
bru,動4,噪,扰
dub,動4,疑,疑
lav,動4,洗,洗
lud,動4,玩,玩
pen,動4,勤,力
vek,動4,醒,醒
vok,動4,召,唤
aper,動4,露,现
bril,動4,光,光
erar,動4,误,错
fest,動4,庆,庆
frap,動4,击,打
gajn,動4,赢,得
kapt,動4,捕,获
kasx,動4,藏,藏
kovr,動4,覆,覆
kuir,動4,烹,制
kusx,動4,卧,卧
pasx,動4,走,行
plor,動4,哭,泪
romp,動4,破,裂
salt,動4,跳,跳
serv,動4,服务,助
tusx,動4,触,触
vend,動4,售,售
zorg,動4,照顾,护
batal,動4,战,战
elekt,動4,选择,选
esper,動4,希望,愿
koler,動4,怒,怒
mezur,動4,量,测
opini,動4,观点,想
ordon,動4,命令,令
plend,動4,怨,不
ripoz,動4,休,养
salut,動4,问,招
sufer,動4,痛,苦
akcept,動4,接受,收
forges,動4,忘,忘
kalkul,動4,算,算
komerc,動4,贸,商
konduk,動4,指挥,导
pardon,動4,赦,解
silent,動4,静,静
trancx,動4,切,断
konsent,動4,同意,许
auxskult,動4,聆,听
ban,動5,浴,水
flu,動5,流,流
kre,動5,创,造
mok,動5,嘲,笑
amuz,動5,乐,乐
cxes,動5,止,止
efik,動5,效,效
gard,動5,守,守
jugx,動5,裁判,裁
klin,動5,斜,斜
pend,動5,悬,悬
pusx,動5,按,压
spir,動5,气,气
stud,動5,学,究
sxat,動5,喜,爱
tond,動5,剪,发
traf,動5,中,中
ating,動5,达,达
decid,動5,决,定
estim,動5,尊敬,敬
invit,動5,请,请
kurac,動5,治,治
marsx,動5,行,行
placx,動5,喜,爱
ripet,動5,重,复
sxlos,動5,锁,锁
sxtel,動5,盗,窃
vizit,動5,参,访
arangx,動5,整,理
ekzist,動5,存在,存
instru,動5,教,教
intenc,動5,意,划
kompat,動5,同情,怜
prefer,動5,偏好,爱
prepar,動5,准备,备
promen,動5,散步,巡
promes,動5,诺,承
sukces,動5,成功,成
konserv,動5,保存,保
bol,動6,玻璃,玻
kis,動6,吻,吻
obe,動6,服,顺
paf,動6,射,射
pel,動6,驱,走
pik,動6,刺,刺
pun,動6,罚,处
sav,動6,救,救
tus,動6,咳,咳
akir,動6,获,获
apog,動6,支持,助
atak,動6,攻,击
bala,動6,扫,清
blov,動6,风,风
cxas,動6,猎,寻
danc,動6,舞,动
eduk,動6,教育,学
evit,動6,避,避
fleg,動6,护,护
glit,動6,滑,滑
gvid,動6,导,导
gxen,動6,阻,碍
hejt,動6,热,温
hont,動6,羞,羞
imag,動6,想,想
imit,動6,仿,模
komb,動6,梳,理
mend,動6,订,购
miks,動6,混,合
nagx,動6,泳,水
plug,動6,耕,耕
pres,動6,印,印
soif,動6,渴,渴
spez,動6,支,出
sxir,動6,撕,分
trem,動6,颤,动
trov,動6,发现,见
venk,動6,胜利,胜
visx,動6,清,净
volv,動6,卷,绕
anonc,動6,告,告
aprob,動6,批准,许
avert,動6,警,警
merit,動6,功绩,得
minac,動6,威胁,迫
pentr,動6,画,画
posed,動6,持,有
pregx,動6,祈,求
rifuz,動6,拒,弃
rilat,動6,关系,联
ripar,動6,修,修
skrap,動6,刮,除
sxerc,動6,笑,笑
tromp,動6,欺,骗
defend,動6,防,守
desegn,動6,画,画
esting,動6,灭,除
inform,動6,通,告
kompar,動6,比,比
kondut,動6,行为,行
konfes,動6,忏,认
konsci,動6,意识,觉
kultur,動6,文化,养
mensog,動6,谎,言
rezult,動6,结果,现
rikolt,動6,收获,获
strecx,動6,张,张
sxovel,動6,铲,掘
akompan,動6,伴,伴
aparten,動6,属,属
bedauxr,動6,悔,悔
konsist,動6,构,合
organiz,動6,组织,立
progres,動6,发展,进
respekt,動6,尊敬,敬
riprocx,動6,责,责
diferenc,動6,差,异
rekomend,動6,推荐,议
korespond,動6,通,应
enu,動7,厌,不
fid,動7,信,信
gxu,動7,乐,乐
hak,動7,砍,断
log,動7,吸,引
pek,動7,罪,行
pes,動7,秤,重
raz,動7,刮,毛
dron,動7,溺,沉
fajf,動7,哨,奏
fand,動7,熔,化
farm,動7,农,作
fart,動7,健,健
frot,動7,擦,磨
gxem,動7,呻,泣
krev,動7,求,求
kudr,動7,缝,编
mord,動7,咬,咬
muel,動7,磨,碎
nutr,動7,营养,养
odor,動7,臭,臭
rajd,動7,骑,航
solv,動7,解,解
taks,動7,评,定
teks,動7,织,织
tent,動7,引,诱
urgx,動7,急,急
babil,動7,聊,话
detru,動7,毁,毁
difin,動7,定义,定
distr,動7,散,散
diven,動7,洞,透
divid,動7,分,分
etend,動7,延,展
evolu,動7,发展,新
forgx,動7,锻,锻
frand,動7,尝,美
grimp,動7,攀,攀
hezit,動7,犹,不
krocx,動7,钩,挂
lauxd,動7,赞,赞
mason,動7,砌,建
ofert,動7,提供,献
ornam,動7,装饰,饰
petol,動7,调皮,闹
songx,動7,梦,梦
stern,動7,展,铺
supoz,動7,假设,想
sxirm,動7,保,护
sxpar,動7,节,节
sxtop,動7,堵,堵
sxuld,動7,债,债
sxvel,動7,胀,张
toler,動7,容,容
versx,動7,灌,注
aspekt,動7,观,视
dauxr/ig##,動7,持,持
difekt,動7,损,损
diskut,動7,讨论,论
domagx,動7,悔,惜
ekscit,動7,激,发
ekzerc,動7,练,练
esplor,動7,探,探
esprim,動7,表达,表
konsol,動7,安慰,慰
murmur,動7,低,语
prezid,動7,主,主
signif,動7,意,意
skulpt,動7,雕,彫
traduk,動7,翻译,译
ekskurs,動7,旅,游
ekzamen,動7,考试,查
komunik,動7,沟通,示
koncern,動7,涉,关
konstat,動7,确认,察
protekt,動7,保,护
protest,動7,抗议,议
renvers,動7,翻,转
surpriz,動7,惊,惊
konsider,動7,考虑,思
persekut,動7,迫害,追
reprezent,動7,代表,示
bak,動8,烤,炉
ben,動8,福,福
boj,動8,吠,叫
bor,動8,孔,孔
ced,動8,让,让
cit,動8,引,引
lek,動8,尝,啜
rab,動8,抢,夺
rav,動8,星,星
rem,動8,船,舟
rev,動8,梦,想
seg,動8,切,分
sku,動8,摇,动
ted,動8,厌,厌
teg,動8,盖,盖
abon,動8,订,购
dung,動8,雇,工
envi,動8,羡,慕
flar,動8,嗅,香
fond,動8,创,建
frit,動8,炸,油
friz,動8,卷,曲
gest,動8,手势,动
glad,動8,烫,平
glut,動8,吞,吞
jxur,動8,誓,誓
kned,動8,捏,塑
macx,動8,磨,碎
melk,動8,挤,取
migr,動8,迁,移
munt,動8,组,装
ofer,動8,献,献
pent,動8,后悔,悔
pruv,動8,证,证
pump,動8,泵,取
putr,動8,腐,坏
ramp,動8,爬,进
risk,動8,冒,险
ronk,動8,鼾,睡
rost,動8,烤,锻
sven,動8,昏,晕
sxov,動8,推,推
sxut,動8,撒,布
tajl,動8,裁,分
tord,動8,扭,曲
tren,動8,牵,引
vari,動8,变,变
velk,動8,枯,枯
adici,動8,增,加
admir,動8,赞,敬
admon,動8,警告,劝
adopt,動8,收养,养
akcel,動8,加,速
atest,動8,证,证
cxerp,動8,取,取
degel,動8,融,融
deleg,動8,派,派
fleks,動8,弯,弯
flirt,動8,飘,动
hered,動8,继,承
influ,動8,影响,引
kares,動8,抚,爱
medit,動8,冥想,思
nauxz,動8,恶,恶
osced,動8,哈,困
pasxt,動8,牧,养
pauxz,動8,停,停
pincx,動8,捏,夹
plekt,動8,编织,编
regal,動8,宴,宴
ribel,動8,反,抗
sopir,動8,思,念
sorcx,動8,魔,法
strik,動8,罢,工
sufok,動8,窒,阻
sving,動8,挥,动
sxarg,動8,装,装
sxmir,動8,涂,涂
trakt,動8,处理,用
tremp,動8,浸,浸
afrank,動8,贴,贴
asekur,動8,保险,保
balanc,動8,摇,动
barakt,動8,挣扎,力
dedicx,動8,献,献
deklar,動8,宣,明
destin,動8,定,定
disput,動8,争,辩
escept,動8,排除,除
festen,動8,宴,会
frakas,動8,破,碎
gratul,動8,祝,祝
ilustr,動8,画,图
import,動8,进,入
insist,動8,坚,坚
instal,動8,安装,置
instig,動8,煽,激
insult,動8,侮辱,辱
komand,動8,指挥,指
komisi,動8,委,托
konfid,動8,信,信
konfit,動8,蜜饯,渍
konfuz,動8,混,乱
konkur,動8,竞,争
kritik,動8,批评,责
observ,動8,观,察
penetr,動8,穿,入
perfid,動8,背叛,叛
proced,動8,程序,行
raport,動8,报告,报
reklam,動8,广告,示
rezign,動8,放弃,弃
rezist,動8,抵抗,持
rifugx,動8,避,逃
brak/um##,動8,抱,抱
civiliz,動8,文明,教
cxagren,動8,怒,怒
de/pend##,動8,依,靠
disting,動8,辨,别
eksplod,動8,爆,裂
garanti,動8,保,保
komplez,動8,善,善
kondamn,動8,定罪,处
konfirm,動8,确认,证
konjekt,動8,猜测,测
konklud,動8,结论,定
kontrol,動8,控,查
konvink,動8,说服,动
operaci,動8,手术,手
plen/um##,動8,满,满
pretend,動8,企图,求
suspekt,動8,疑,疑
turment,動8,折磨,扰
distribu,動8,分,分
fanfaron,動8,夸,自
kontrakt,動8,合同,约
mastr/um##,動8,管,理
prokrast,動8,延,延
administr,動8,管理,理
el/turn/igx##,動8,闪,过
entrepren,動8,创办,行
dec,動9,等,相
juk,動9,痒,痒
lul,動9,摇篮,抚
vad,動9,走,行
vag,動9,漂,游
vet,動9,赌,赌
vom,動9,呕,吐
zum,動9,嗡,鸣
ador,動9,崇拜,敬
agit,動9,动,动
akuz,動9,控,告
alud,動9,暗示,示
bapt,動9,洗,教
bind,動9,绑,订
blek,動9,哭,泪
bred,動9,养,养
bucx,動9,杀,杀
cxif,動9,皱,皱
dikt,動9,记录,述
dres,動9,训练,训
ekip,動9,装备,装
est/ig##,動9,引,引
fast,動9,斋,斋
flat,動9,阿,言
flik,動9,补,补
fugx,動9,逃,避
fusx,動9,败,失
garn,動9,固,固
grat,動9,抓,揉
hav/ig##,動9,有,给
izol,動9,隔,离
jung,動9,绑,紧
lukt,動9,斗,斗
mugx,動9,哭,泣
opon,動9,反,反
palp,動9,摸,摸
pekl,動9,腌,腌
pere,動9,毁,毁
pli/ig##,動9,增,增
sark,動9,除,草
sekc,動9,割,断
sorb,動9,吸,收
spit,動9,宅,房
sucx,動9,吸,取
svat,動9,媒,合
tajp,動9,打,入
tern,動9,嚏,喷
tikl,動9,挠,痒
tint,動9,铃,响
trik,動9,织,编
trud,動9,强迫,强
vart,動9,护,护
adapt,動9,适,适
aplik,動9,应,用
asert,動9,断,表
asist,動9,助,助
balot,動9,投票,决
cxe/est##,動9,箱,到
delir,動9,狂,乱
depon,動9,存,存
deput,動9,代表,代
enket,動9,调查,查
eskap,動9,逃,逃
falcx,動9,割,除
flagr,動9,飘扬,动
for/est##,動9,缺,失
grinc,動9,摩擦,声
ignor,動9,忽,视
impet,動9,冲,冲
incit,動9,激,激
indik,動9,指,示
insid,動9,陷,伏
inund,動9,洪,泛
kracx,動9,呕,气
liver,動9,供,发
menci,動9,述,述
modif,動9,改,改
ofend,動9,侮辱,辱
rezon,動9,理,论
rivel,動9,揭,露
start,動9,开始,动
susur,動9,哗,清
sxpin,動9,织,结
trejn,動9,训练,练
vengx,動9,复仇,复
abstin,動9,节,节
aflikt,動9,痛苦,苦
altern,動9,交替,换
balbut,動9,结,不
cirkul,動9,循环,转
dejxor,動9,守,守
denunc,動9,举报,告
de/ten##,動9,持,持
dev/ont/ig##,動9,诺,承
digest,動9,消化,解
dispon,動9,配置,置
dorlot,動9,宠,养
eksped,動9,快递,送
el/don##,動9,发,发
establ,動9,建,立
flustr,動9,悄,语
grimac,動9,皱,脸
grumbl,動9,抱怨,不
implik,動9,纠,纏
indign,動9,愤,怒
indulg,動9,宽,宽
infekt,動9,感,感
injekt,動9,注,注
inspir,動9,启发,启
invent,動9,发,出
klopod,動9,努,力
kolizi,動9,撞,撞
kombin,動9,组合,合
kompon,動9,组成,配
konsum,動9,消费,用
korekt,動9,纠正,改
lubrik,動9,润滑,油
manovr,動9,操,动
plongx,動9,跳,入
preleg,動9,讲,讲
propon,動9,建议,议
provok,動9,挑衅,引
recenz,動9,评论,评
redakt,動9,编辑,改
redukt,動9,减,减
revizi,動9,审查,改
sxpruc,動9,喷,射
aplauxd,動9,掌,赞
blasfem,動9,亵渎,嘲
bon/vol##,動9,愿,请
brokant,動9,古董,古
eksport,動9,出,出
ekzekut,動9,执行,行
gust/um##,動9,味,味
