世界语单词,词性与重要性,候选汉字1,候选汉字2
malakit,名o,,矿
mansard,名o,,室
margxen,名o,,边
matador,名o,,者
mekanik,名o,,动
merlang,名o,,海
metafor,名o,,喻
minaret,名o,,塔
mirabel,名o,,果
molekul,名o,,分
monarki,名o,,王
monolog,名o,,自
monopol,名o,,独
nikotin,名o,,物
obelisk,名o,,碑
oleandr,名o,,花
oligark,名o,,者
omnibus,名o,,车
onobrik,名o,,果
optativ,名o,,愿
pacient,名o,,耐
palinur,名o,,虾
pamflet,名o,,报
panoram,名o,,景
papirus,名o,,纸
parabol,名o,,线
parafin,名o,,蜡
paskvil,名o,,笑
pasxtel,名o,,色
patolog,名o,,师
patrici,名o,,贵
patriot,名o,,国
pedagog,名o,,教
pelerin,名o,,披
pension,名o,,所
percept,名o,,觉
pilastr,名o,,柱
piramid,名o,,古
plagiat,名o,,盗
plantag,名o,,植
polemik,名o,,论
prefekt,名o,,长
procesi,名o,,行
prognoz,名o,,预
prozodi,名o,,诗
puritan,名o,,者
retorik,名o,,辞
revizor,名o,,官
samovar,名o,,壺
sarkasm,名o,,讽
segment,名o,,段
sekreci,名o,,生
semafor,名o,,示
serenad,名o,,曲
sifilis,名o,,病
simetri,名o,,等
simfoni,名o,,曲
simptom,名o,,示
sinagog,名o,,堂
sinedri,名o,,法
sinonim,名o,,同
sintaks,名o,,构
skandal,名o,,丑
skrupul,名o,,细
stearin,名o,,脂
sugesti,名o,,劝
sxiling,名o,,物
taburet,名o,,椅
tangent,名o,,正
teokrat,名o,,教
teologi,名o,,学
trombon,名o,,音
ultimat,名o,,绝
uvertur,名o,,前
variant,名o,,变
vazelin,名o,,霜
verdikt,名o,,法
veteran,名o,,土
vokativ,名o,,求
abnegaci,名o,,我
adjutant,名o,,助
aeroplan,名o,,机
agronomi,名o,,农
akvafort,名o,,版
akvilegi,名o,,花
alabastr,名o,,白
aligator,名o,,鳄
ambulanc,名o,,车
antipati,名o,,恶
antologi,名o,,集
apostrof,名o,,符
arbalest,名o,,弓
areometr,名o,,器
arkeolog,名o,,文
arkitekt,名o,,师
artileri,名o,,炮
astrolog,名o,,星
astronom,名o,,星
atmosfer,名o,,层
auxdienc,名o,,引
balistik,名o,,学
balzamin,名o,,花
banderol,名o,,带
barelief,名o,,雕
batalion,名o,,队
bazilisk,名o,,兽
biografi,名o,,事
ceremoni,名o,,礼
dekadenc,名o,,衰
delegaci,名o,,团
demagogi,名o,,动
demokrat,名o,,者
diafragm,名o,,隔
diagonal,名o,,边
diapazon,名o,,音
didaktik,名o,,学
difterit,名o,,炎
diktator,名o,,者
discxipl,名o,,学
dispepsi,名o,,消
ditiramb,名o,,颂
dromedar,名o,,者
ekstrakt,名o,,取
epilepsi,名o,,脑
erizipel,名o,,感
etimologi##,名o,,源
etiologi,名o,,因
etnograf,名o,,民
evangeli,名o,,讯
faksimil,名o,,印
fakultat,名o,,学
felieton,名o,,论
feminism,名o,,女
feminist,名o,,者
filologi,名o,,学
filozofi,名o,,思
fiziolog,名o,,生
fonograf,名o,,音
galantin,名o,,菜
garnitur,名o,,套
garnizon,名o,,防
genealog,名o,,谱
geometri,名o,,形
glicerin,名o,,剂
gliciriz,名o,,草
grafolog,名o,,笔
gramofon,名o,,音
gutaperk,名o,,胶
halebard,名o,,枪
harmonik,名o,,和
hegemoni,名o,,权
hekatomb,名o,,祭
hierarki,名o,,级
hipodrom,名o,,场
honorari,名o,,敬
horoskop,名o,,星
hortensi,名o,,花
hxirurgi,名o,,术
idiotism,名o,,语
imperial,名o,,皇
indigxen,名o,,民
inkognit,名o,,隐
intervju,名o,,谈
kalendul,名o,,花
kardinal,名o,,教
katafalk,名o,,台
katakomb,名o,,地
katedral,名o,,堂
katekist,名o,,者
kavaleri,名o,,兵
komandit,名o,,令
konfekci,名o,,装
konflikt,名o,,斗
kontralt,名o,,音
kontrast,名o,,差
konvenci,名o,,约
kosmetik,名o,,妆
kreditor,名o,,者
ksilofon,名o,,琴
kvocient,名o,,数
labirint,名o,,迷
lauxreat,名o,,者
logaritm,名o,,数
logogrif,名o,,字
makaroni,名o,,面
mandaren,名o,,长
mandolin,名o,,琴
manifest,名o,,示
manometr,名o,,力
margarin,名o,,油
marionet,名o,,人
mauxzole,名o,,墓
mekanism,名o,,系
melodram,名o,,剧
meridian,名o,,地
metronom,名o,,器
metropol,名o,,城
mikrofon,名o,,音
miniatur,名o,,小
monogram,名o,,印
monomani,名o,,执
naftalin,名o,,剂
narkotik,名o,,药
navigaci,名o,,航
nekrolog,名o,,悼
nepotism,名o,,家
nihilism,名o,,无
nihilist,名o,,者
nostalgi,名o,,怀
numismat,名o,,币
obligaci,名o,,债
oligarhx,名o,,头
oligarki,名o,,权
optimism,名o,,进
optimist,名o,,心
organism,名o,,体
orografi,名o,,山
pacifism,名o,,和
pacifist,名o,,者
palanken,名o,,篮
panteism,名o,,神
panteist,名o,,者
pantomim,名o,,剧
paradigm,名o,,范
parafraz,名o,,释
paragraf,名o,,节
partitur,名o,,谱
patologi,名o,,病
pedagogi,名o,,教
perimetr,名o,,缘
peristil,名o,,廊
pesimism,名o,,苦
pesimist,名o,,者
pleonasm,名o,,啰
poliglot,名o,,语
preterit,名o,,往
procedur,名o,,程
projekci,名o,,示
proporci,名o,,比
prospekt,名o,,解
protokol,名o,,录
prototip,名o,,型
prozelit,名o,,者
psikolog,名o,,心
referenc,名o,,范
renesanc,名o,,新
reputaci,名o,,名
revelaci,名o,,露
revolver,名o,,转
rojalist,名o,,王
sacerdot,名o,,教
sakristi,名o,,堂
sarkofag,名o,,墓
seminari,名o,,班
sensaci,名o,,感
sfinkter,名o,,紧
silogism,名o,,论
solecism,名o,,不
stipendi,名o,,金
strategi,名o,,略
subvenci,名o,,金
talisman,名o,,符
tamburin,名o,,琴
tarantel,名o,,舞
tarantul,名o,,丝
teleskop,名o,,镜
teokrati,名o,,教
tipograf,名o,,印
topograf,名o,,师
toreador,名o,,斗
transept,名o,,横
tuberkul,名o,,病
amfiteatr,名o,,场
apopleksi,名o,,血
arbitraci,名o,,裁
arhxeolog,名o,,古
arhxitekt,名o,,设
aritmetik,名o,,数
arkeologi,名o,,文
arkipelag,名o,,岛
astrologi,名o,,星
astronomi,名o,,星
auxditori,名o,,厅
auxtograf,名o,,手
auxtokrat,名o,,者
deklaraci,名o,,示
demokrati,名o,,政
dialektik,名o,,法
disciplin,名o,,规
disenteri,名o,,病
entomolog,名o,,虫
etnografi,名o,,文
filantrop,名o,,者
fiziologi,名o,,生
fizionomi,名o,,容
fotografi,名o,,影
genealogi,名o,,家
gladiator,名o,,士
grafologi,名o,,笔
harmonium,名o,,风
heksametr,名o,,诗
heliotrop,名o,,日
hidrofobi,名o,,水
hieroglif,名o,,文
higrometr,名o,,湿
hipopotam,名o,,兽
homeopati,名o,,疗
ideografi,名o,,文
imperativ,名o,,令
imperfekt,名o,,不
impresari,名o,,者
indikativ,名o,,示
infanteri,名o,,兵
infinitiv,名o,,无
inkvizici,名o,,法
intendant,名o,,管
kabriolet,名o,,车
kandelabr,名o,,灯
karikatur,名o,,画
kartograf,名o,,地
kastanjet,名o,,栗
katalepsi,名o,,强
katastrof,名o,,难
katehxist,名o,,教
kompromis,名o,,和
konduktor,名o,,车
konkurenc,名o,,争
kontinent,名o,,地
kontrabas,名o,,提
konvolvul,名o,,花
kosmogoni,名o,,星
kosmograf,名o,,家
krizantem,名o,,菊
kronologi,名o,,年
kronometr,名o,,时
krucifiks,名o,,圣
kvadratur,名o,,方
litografi,名o,,印
lokomobil,名o,,车
melankoli,名o,,郁
metafizik,名o,,哲
mikrometr,名o,,微
mikroskop,名o,,微
mineralog,名o,,学
monoteism,名o,,一
neologism,名o,,新
oligarhxi,名o,,权
ornitolog,名o,,鸟
ostracism,名o,,弃
paleograf,名o,,文
palisandr,名o,,木
paroksism,名o,,发
pentametr,名o,,诗
plutokrat,名o,,资
politeism,名o,,神
providenc,名o,,天
pulcxinel,名o,,演
purgatori,名o,,净
recitativ,名o,,述
reformaci,名o,,新
rekrement,名o,,渣
repertuar,名o,,曲
rezignaci,名o,,弃
sakrament,名o,,圣
sekundant,名o,,助
skarlatin,名o,,病
skolastik,名o,,学
somnambul,名o,,者
sortiment,名o,,合
spekulaci,名o,,测
spiritism,名o,,灵
spiritist,名o,,师
stalagmit,名o,,石
stalaktit,名o,,石
statistik,名o,,计
sxovinism,名o,,国
sxovinist,名o,,排
tipografi,名o,,版
topografi,名o,,学
velociped,名o,,车
veterinar,名o,,物
vivisekci,名o,,解
abiturient,名o,,学
alternativ,名o,,异
anakronism,名o,,时
antropolog,名o,,学
arhxeologi,名o,,文
arhxipelag,名o,,岛
aristokrat,名o,,贵
arkitektur,名o,,设
auxtokrati,名o,,权
beletristik,名o,,文
bibliograf,名o,,理
civilizaci,名o,,示
dinamometr,名o,,测
ekskrement,名o,,物
entomologi,名o,,虫
euxkaristi,名o,,敬
filantropi,名o,,善
hipertrofi,名o,,大
ingredienc,名o,,料
inkvizitor,名o,,员
kartografi,名o,,图
koeficient,名o,,数
kompliment,名o,,赞
kongregaci,名o,,教
konsistori,名o,,会
kontraband,名o,,易
kontribuci,名o,,助
kosmografi,名o,,星
kosmopolit,名o,,者
krestomati,名o,,集
kvintesenc,名o,,精
manufaktur,名o,,工
manuskript,名o,,本
metamorfoz,名o,,变
meteorolog,名o,,气
mineralogi,名o,,学
naturalism,名o,,生
numismatik,名o,,币
ornitologi,名o,,鸟
paleografi,名o,,文
perspektiv,名o,,景
plutokrati,名o,,财
pneuxmatik,名o,,轮
prerogativ,名o,,权
pseuxdonim,名o,,名
stenografi,名o,,记
subjunktiv,名o,,假
superlativ,名o,,上
tuberkuloz,名o,,结
admiralitat,名o,,海
antropologi,名o,,学
aristokrati,名o,,族
bibliografi,名o,,目
cirkumfleks,名o,,符
demonstraci,名o,,示
departement,名o,,部
enciklopedi,名o,,集
hermafrodit,名o,,性
hidrostatik,名o,,静
hidroterapi,名o,,水
imperialism,名o,,权
inauxguraci,名o,,式
kalejdoskop,名o,,筒
kondicional,名o,,条
konfederaci,名o,,联
konglomerat,名o,,合
kontrapunkt,名o,,对
manifestaci,名o,,示
metempsikoz,名o,,生
meteorologi,名o,,气
observatori,名o,,站
paleontolog,名o,,古
pleuxronekt,名o,,鱼
protagonist,名o,,人
protektorat,名o,,护
pseuxd,名o,,名
racionalism,名o,,理
racionalist,名o,,者
reuxmatism,名o,,炎
temperament,名o,,性
tragikomedi,名o,,剧
administraci,名o,,政
demonstrativ,名o,,示
konservatori,名o,,学
paleontologi,名o,,古
paralelogram,名o,,形
spiritualism,名o,,论
spiritualist,名o,,者
trigonometri,名o,,角
auxtobiografi,名o,,事
t.e.,略f,是,是
k.t.p.,略f,等,类
kiom,形9,何量,第
kiom##,接1,量,多
kiom##,副1,量,多
dum,接1,当间,时
dum##,前1,时,中
gxis,接1,至,至
gxis##,前1,至,止
anstataux,接1,代,换
anstataux##,前1,代,替
kiu##,形1,哪,哪
kiu,代1,何u,哪
tiu##,形1,那,那
tiu##,代1,那,那
cxiu,形1,全u,各
cxiu##,代1,各,専
neniu,形1,无u,有
neniu##,代1,无,无
ambaux,形1,双,两
ambaux##,代1,双,双
tiu cxi##,形1,这,这
tiu cxi##,代1,此,此
fiks,形5,固,定
fiks##,動5,固,固
fals,形6,伪,假
fals##,動6,伪,伪
cxu##,接1,否,否
cxu,副1,吗,是
kial,接1,何因,何
kial##,副1,原因,因
kiel,接1,何方,如
kiel##,副1,方式,程
tamen,接1,但,然
tamen##,副1,但,然
apenaux,接1,,刚
apenaux##,副1,几乎,微
kvazaux,接1,如,如
kvazaux##,副1,似,似
cxirkaux,前1,约,周
cxirkaux##,副1,周围,近
precip##,形4,重,要
precip,副 <4>,特别,特
tut,形2,全,全
tut##,副b,全,全
rest##,動2,留,留
rest,名2,余,剩
cxiel,副6,全方,多
cxiel##,名3,天,空
interes,動3,兴趣,迷
interes##,名 <3>,兴趣,迷
lig,動4,联,合
lig##,名4,联,结
rul,動5,轮,转
rul##,名5,轴,卷
arm##,動6,武器,装
arm,名6,武,弹
fos,動6,掘,掘
fos##,名6,坑,坑
plant,動6,植,种
plant##,名6,植,花
orient##,動9,方向,定
orient,名6,东,东
fald,動7,折,折
fald##,名7,折,折
kaj,接1,,再
kaj##,名8,台,台
amas,名4,群,集
amas##,名8,群,群
kopi,動f,复写,印
kopi##,名8,复,印
fotograf,動7,摄,录
fotograf##,名8,摄,影
cxar,接1,因,因
cxar##,名9,车,车
fikci##,形9,构,想
fikci,名9,虚,想
nul,数4,,零
nul##,名 <f>,,零
klar##,名f,明,明
klar,形2,明,明
artikol,名7,文品,文
artikol##,名f,条款,文
auxgust,名5,8月,暑
auxgust##,名f,八月,夏
por##,前1,为,于
por##,名o,孔,孔
opozici,動9,反,反
opozici##,名o,反,反
fot,,照,影
vibr,,振,动
oscil,,振动,动
fluktu,,波动,动
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
